entity_id,affil_code,affil_code_desc,affil_level_code_desc,affil_status_desc
29,CAFCA,Friends of CAA,Friend,Current
29,MA3,Cal Advocate,Advocate,Current
29,RC49,CAA UC Berkeley Alumni Club of Georgia,Member,Current
29,URCR,@Cal Registrant,Member,Current
51,CAFCA,Friends of CAA,Friend,Current
51,MA3,Cal Advocate,Advocate,Current
59,CAFCA,Friends of CAA,Friend,Current
72,BLPIL,Berkeley Law Partners in Leadership,Member,Former
72,GPDA,Gift Planning Donor Advisor,Member,Former
72,LWRV,Law Reunion Volunteer,Volunteer,Former
80,ATFAT,Friends of Athletics,Friend,Current
80,CAFCA,Friends of CAA,Friend,Current
80,MB3,Big C Society,Member,Current
80,RC32,CAA Cal Spirit Alumni Club,Member,Current
80,RC70,CAA Marin County Alumni Club,Member,Current
80,TLOLI,Osher Lifelong Learning Institute,Member,Former
80,UP3,*Cal Parents Program - Public Affairs,Member,Former
151,ATFAT,Friends of Athletics,Friend,Current
151,CAFCA,Friends of CAA,Friend,Current
151,GPSP,Gift Planning Stewardship Program,Member,Current
151,LWFLS,Friends of Law School,Friend,Current
151,MA5,CAA Student Recruitment/Outreach Pgm,Volunteer,Former
151,OC1,Order of the Golden Bear,Member,Current
151,RC32,CAA Cal Spirit Alumni Club,Member,Current
151,RC45,CAA Lake Tahoe Alumni Club,Member,Former
151,UBIW,Benjamin Ide Wheeler Society,Member,Current
194,CAFCA,Friends of CAA,Friend,Current
222,ATFAT,Friends of Athletics,Friend,Current
222,CAFCA,Friends of CAA,Friend,Current
222,MA3,Cal Advocate,Advocate,Former
222,RC32,CAA Cal Spirit Alumni Club,Member,Current
235,AU5,*Haas Cal Business Alumni Regional,Board Member,Former
235,CAFCA,Friends of CAA,Friend,Current
235,RC43,CAA UC Club of Santa Clara County,Member,Current
235,URCR,@Cal Registrant,Member,Current
258,CAFCA,Friends of CAA,Friend,Current
258,MA12,CAA Lair of the Golden Bear Camper,Member,Former
258,S16,Palo Alto Hills Golf & Country Club,Member,Current
295,CAFCA,Friends of CAA,Friend,Current
295,RC92,CAA Cal Alumni Club of Sacramento,Member,Current
295,TLOLI,Osher Lifelong Learning Institute,Member,Current
297,NULL,NULL,NULL,NULL
347,ATFAT,Friends of Athletics,Friend,Current
347,MA3,Cal Advocate,Advocate,Current
347,MB3,Big C Society,Member,Current
352,CAFCA,Friends of CAA,Friend,Current
417,BCLB,Berkeley Center for Law & Business,Friend,Current
417,CAFCA,Friends of CAA,Friend,Current
417,JLFJI,Jewish Law & Israel Studies Inst,Friend,Current
417,MA12,CAA Lair of the Golden Bear Camper,Member,Current
417,MA12,CAA Lair of the Golden Bear Camper,Member,Former
417,ML2,Magnes Collection Constituent,Patron,Current
417,RC38,CAA Alameda Cal Alumni Club,Member,Current
417,UBIW,Benjamin Ide Wheeler Society,Member,Current
443,CAFCA,Friends of CAA,Friend,Current
461,NULL,NULL,NULL,NULL
463,CAFCA,Friends of CAA,Friend,Current
463,URCR,@Cal Registrant,Member,Current
464,ATFAT,Friends of Athletics,Friend,Current
464,CAFCA,Friends of CAA,Friend,Current
464,MA12,CAA Lair of the Golden Bear Camper,Member,Former
464,ML2,Magnes Collection Constituent,Patron,Current
464,RC80,CAA Lamorinda Golden Bears,Member,Current
486,CAFCA,Friends of CAA,Friend,Current
486,MA3,Cal Advocate,Advocate,Current
486,RC7,CAA South Bay Cal Alumni Club,Member,Current
486,URCR,@Cal Registrant,Member,Current
486,X4,Los Angeles Luncheon Club,Member,Current
490,CAFCA,Friends of CAA,Friend,Current
517,BCCN,BCCN: Berkeley Corporate Counsel Network,Friend,Current
517,BLDR,Builders of Berkeley,Couple,Current
517,BUA3,Haas Ctr/Real Estate & Urban Ecn (CREUE),Advisory Member,Current
517,CAFCA,Friends of CAA,Friend,Current
517,GPSP,Gift Planning Stewardship Program,Member,Current
517,HCOC,Haas Alumni Chapter OC,Member,Current
517,HGALA,Haas Gala,Sponsor,Former
517,LWFLS,Friends of Law School,Friend,Current
517,MA3,Cal Advocate,Advocate,Current
517,MUBW,Haas Benjamin Ide Wheeler Society Member,Member,Current
517,OC2,Berkeley Fellows,Member,Current
517,RC45,CAA Lake Tahoe Alumni Club,Member,Current
517,UBIW,Benjamin Ide Wheeler Society,Member,Current
517,UCFCP,Faculty Club Prospect,Member,Current
517,UP3,*Cal Parents Program - Public Affairs,Member,Former
567,ATFAT,Friends of Athletics,Friend,Current
567,BLDR,Builders of Berkeley,Individual,Current
567,BUA3,Haas Ctr/Real Estate & Urban Ecn (CREUE),Member,Former
567,CAFCA,Friends of CAA,Friend,Current
567,HCOC,Haas Alumni Chapter OC,Member,Current
567,MA3,Cal Advocate,Advocate,Current
567,MU1,*Haas Cal Business Alumni Member,Member,Former
567,S15,Peninsula Golf & Country Club,Member,Current
567,S23,Burlingame Country Club,Member,Current
572,CAFCA,Friends of CAA,Friend,Current
572,LBFUL,Friends of the University Libraries,Friend,Current
572,LBVOL,Library Volunteer,Volunteer,Current
572,SS01,Menlo Circus Club,Member,Current
574,CAFCA,Friends of CAA,Friend,Current
574,MA9,*CAA Legislative Relations-Defunct,Member,Former
574,OC1,Order of the Golden Bear,Member,Current
576,ATFAT,Friends of Athletics,Friend,Current
576,CAFCA,Friends of CAA,Friend,Current
576,MA3,Cal Advocate,Advocate,Current
576,MB3,Big C Society,Member,Current
576,UBIW,Benjamin Ide Wheeler Society,Member,Anonymous
597,ATFAT,Friends of Athletics,Friend,Current
597,CAFCA,Friends of CAA,Friend,Current
597,MU1,*Haas Cal Business Alumni Member,Member,Former
597,X3,San Francisco Luncheon Club,Member,Current
597,X9,Bankers Club of San Francisco,Member,Current
604,MA18,CAA Alumni Leadership Scholarship Interv,Volunteer,Former
604,MA3,Cal Advocate,Advocate,Current
604,MA30,TAAP/KASP Scholarship Reader,Volunteer,Former
604,MA31,CAA Leadership Scholarship Reader,Volunteer,Former
604,MA5,CAA Student Recruitment/Outreach Pgm,Volunteer,Former
604,RC10,CAA Orange County Cal Alumni Club,Member,Current
604,RC16,CAA BER Student Cooperative Alumni Assoc,Member,Current
