entity_id,committee_code,committee_desc,committee_role_desc,unit_desc
29,NE2,Engineering Annual Fund Volunteers Commi,Volunteer,Engineering
51,NULL,NULL,NULL,NULL
59,NULL,NULL,NULL,NULL
72,UUA7,*KTP Volunteer,Member,Univ Development/Alumni Relations - UDAR
80,NULL,NULL,NULL,NULL
151,BA1,CAA Board of Directors,Director,Cal Alumni Association
151,BA1,CAA Board of Directors,Vice President at Large,Cal Alumni Association
151,R1957,Class of 1957 Reunion Committee,Member,Milestone & Next Gen Philanthropy - UDAR
151,UA2,*Cal Annual Fund Advisory Committee-Defu,Committee Member,Univ Development/Alumni Relations - UDAR
194,NULL,NULL,NULL,NULL
222,NULL,NULL,NULL,NULL
235,AU1,*Haas Cal Business Alumni Board,Board Member,Business
258,NULL,NULL,NULL,NULL
295,NULL,NULL,NULL,NULL
297,NULL,NULL,NULL,NULL
347,NULL,NULL,NULL,NULL
352,NULL,NULL,NULL,NULL
417,NULL,NULL,NULL,NULL
443,NULL,NULL,NULL,NULL
461,NULL,NULL,NULL,NULL
463,NULL,NULL,NULL,NULL
464,NULL,NULL,NULL,NULL
486,NULL,NULL,NULL,NULL
490,NULL,NULL,NULL,NULL
517,BN1,CNR Advisory Board,Member,Natural Resources
517,BU1,Haas School of Business Board,Board Member,Business
517,CVOC,*Orange County Committee-Defunct,Chair,Univ Development/Alumni Relations - UDAR
517,DGD1,*Graduate Fellowships Advisory Board,Member,Graduate Division
517,MH1,Public Health Policy Advisory Council,Member,Public Health
517,MH2,*Public Health Genetic Counseling Cmte,Committee Member,Public Health
517,R1965,Class of 1965 Reunion Committee,Member,Milestone & Next Gen Philanthropy - UDAR
517,UA1,*UCBF Trustees Annual Programs,Committee Member,UC Berkeley Foundation
517,UN3,Thanks To Berkeley So Cal Cmpgn Celeb Ho,Committee Member,Univ Development/Alumni Relations - UDAR
517,UP1,*Public Affairs Cal Parents Prgrm Board,Board Member,Parent Philanthropy & Engagement - UDAR
517,UT1,UCBF Elected Trustees - Term 1,Advisory Trustee,UC Berkeley Foundation
517,UT1,UCBF Elected Trustees - Term 1,Trustee,UC Berkeley Foundation
517,UTEM,UCBF Emeritus Trustees,Member,UC Berkeley Foundation
517,UTL,*UCBF Long Range Planning Committee,Chair,UC Berkeley Foundation
517,UTL,*UCBF Long Range Planning Committee,Vice Chair,UC Berkeley Foundation
517,UTPS,*UCBF Stewardship Strategy Working Group,Committee Member,UC Berkeley Foundation
517,UUA7,*KTP Volunteer,Member,Univ Development/Alumni Relations - UDAR
517,UUH0,*KTP Orange County Committee,Member,Univ Development/Alumni Relations - UDAR
517,UUH3,*Haas Campaign Exec Committee,Member,Business
567,NULL,NULL,NULL,NULL
572,NULL,NULL,NULL,NULL
574,DGD1,*Graduate Fellowships Advisory Board,Member,Graduate Division
574,UTXO,UCBF Ex Officio Trustees,Member,UC Berkeley Foundation
574,UUA7,*KTP Volunteer,Member,Univ Development/Alumni Relations - UDAR
576,UUA7,*KTP Volunteer,Member,Univ Development/Alumni Relations - UDAR
597,UUA7,*KTP Volunteer,Member,Univ Development/Alumni Relations - UDAR
604,AE1,EECS Industrial Advisory Board,Board Member,Engineering
604,NE2,Engineering Annual Fund Volunteers Commi,Volunteer,Engineering
632,NULL,NULL,NULL,NULL
647,NULL,NULL,NULL,NULL
713,MU5,*Haas Development Council,Member,Business
724,NULL,NULL,NULL,NULL
732,NULL,NULL,NULL,NULL
775,CVSD,*San Diego Committee-Defunct,Member,Univ Development/Alumni Relations - UDAR
776,NULL,NULL,NULL,NULL
809,NULL,NULL,NULL,NULL
841,NULL,NULL,NULL,NULL
846,NULL,NULL,NULL,NULL
867,BL1,*L&S Executive Board,Board Member,Letters & Science
867,BP1,GSPP Advisory Board,Board Member,Public Policy
867,BP1,GSPP Advisory Board,Chair,Public Policy
867,SCCC,Southern California Chancellor's Council,Member,Univ Development/Alumni Relations - UDAR
867,UT1,UCBF Elected Trustees - Term 1,Appointed Trustee-LS,UC Berkeley Foundation
867,UT1,UCBF Elected Trustees - Term 1,Trustee,UC Berkeley Foundation
867,UTEXA,BoV-UCBF External Affairs Committee,Member,Chancellor
867,UUG7,*KTP West Los Angeles Committee,Member,Univ Development/Alumni Relations - UDAR
885,BA1,CAA Board of Directors,Director,Cal Alumni Association
899,ME5,Engineerng Alumni Society-So Cal Board O,Director,Cal Alumni Association
899,ME5,Engineerng Alumni Society-So Cal Board O,Treasurer,Cal Alumni Association
953,NULL,NULL,NULL,NULL
968,NULL,NULL,NULL,NULL
1015,BCH1,Chemistry Advisory Board,Member,Chemistry
1015,BCTWH,Berkeley Club of Taiwan Hon Bd Advsrs,Advisory Member,International Relations - UDAR
1023,BL1,*L&S Executive Board,Board Member,Letters & Science
1023,R1957,Class of 1957 Reunion Committee,Member,Milestone & Next Gen Philanthropy - UDAR
1023,UUH3,*Haas Campaign Exec Committee,Member,Business
1035,NULL,NULL,NULL,NULL
1102,NULL,NULL,NULL,NULL
1103,NULL,NULL,NULL,NULL
1109,NULL,NULL,NULL,NULL
1126,NULL,NULL,NULL,NULL
1128,NULL,NULL,NULL,NULL
1151,MB1,Big C Board of Directors,Board Member,Intercollegiate Athletics
1151,R1955,Class of 1955 Reunion Committee,Member,Milestone & Next Gen Philanthropy - UDAR
1163,NULL,NULL,NULL,NULL
1168,NULL,NULL,NULL,NULL
1169,NULL,NULL,NULL,NULL
1184,AA3,CAA Class Reunion Host Committee,Volunteer,Cal Alumni Association
1184,MV2,*CED Picnic at Runnymede Committee-Defun,Committee Member,Environmental Design
1194,NULL,NULL,NULL,NULL
1196,BA1,CAA Board of Directors,Director,Cal Alumni Association
1196,CVLA,*Greater LA Committee-Defunct,Chair,Univ Development/Alumni Relations - UDAR
1196,M9HS,*Health Sciences Initiative Volunteer Cm,Committee Member,Univ Development/Alumni Relations - UDAR
1196,UA1,*UCBF Trustees Annual Programs,Committee Member,UC Berkeley Foundation
1196,UT1,UCBF Elected Trustees - Term 1,Advisory Trustee,UC Berkeley Foundation
1196,UT1,UCBF Elected Trustees - Term 1,Trustee,UC Berkeley Foundation
1196,UUA7,*KTP Volunteer,Member,Univ Development/Alumni Relations - UDAR
1196,UUG7,*KTP West Los Angeles Committee,Member,Univ Development/Alumni Relations - UDAR
1202,R1965,Class of 1965 Reunion Committee,Member,Milestone & Next Gen Philanthropy - UDAR
1207,AF1,Incentive Awards Program Honorary Commit,Member,Student Affairs
1207,BA1,CAA Board of Directors,Director,Cal Alumni Association
1207,BNCCC,Bancroft Campaign Committee,Member,Library
1207,BP1,GSPP Advisory Board,Board Member,Public Policy
1207,CVLA,*Greater LA Committee-Defunct,Board Member,Univ Development/Alumni Relations - UDAR
1207,MO2,Library Board,Board Member,Library
1207,MO9,Bancroft Centennial Campaign Leadership,Member,Library
1207,R1964,Class of 1964 Reunion Committee,Chair,Milestone & Next Gen Philanthropy - UDAR
1207,R1964,Class of 1964 Reunion Committee,Member,Milestone & Next Gen Philanthropy - UDAR
1207,UN3,Thanks To Berkeley So Cal Cmpgn Celeb Ho,Committee Member,Univ Development/Alumni Relations - UDAR
1207,UT1,UCBF Elected Trustees - Term 1,Trustee,UC Berkeley Foundation
1207,UUA7,*KTP Volunteer,Member,Univ Development/Alumni Relations - UDAR
1208,NULL,NULL,NULL,NULL
1233,R1960,Class of 1960 Reunion Committee,Member,Milestone & Next Gen Philanthropy - UDAR
1234,BCH6,Chemistry Volunteer Fundraiser Committee,Member,Chemistry
1262,NULL,NULL,NULL,NULL
1301,NULL,NULL,NULL,NULL
1306,ALI1,Library Campaign Leadership Committee,Committee Member,Library
1306,AUA1,Campus Life & Leadership Alumni Advisory,Board Member,Student Affairs
1306,BNCCC,Bancroft Campaign Committee,Member,Library
1306,CVLA,*Greater LA Committee-Defunct,Board Member,Univ Development/Alumni Relations - UDAR
1306,JRLS,Rosston Library Society,Member,Library
1306,MO2,Library Board,Board Member,Library
1306,MO2,Library Board,Honorary Member,Library
1306,MO2,Library Board,President,Library
1306,MO9,Bancroft Centennial Campaign Leadership,Member,Library
1306,R1960,Class of 1960 Reunion Committee,Co-Chair,Milestone & Next Gen Philanthropy - UDAR
1306,R1960,Class of 1960 Reunion Committee,Member,Milestone & Next Gen Philanthropy - UDAR
1306,UA1,*UCBF Trustees Annual Programs,Committee Member,UC Berkeley Foundation
1306,UN3,Thanks To Berkeley So Cal Cmpgn Celeb Ho,Committee Member,Univ Development/Alumni Relations - UDAR
1306,UT1,UCBF Elected Trustees - Term 1,Advisory Trustee,UC Berkeley Foundation
1306,UT1,UCBF Elected Trustees - Term 1,Trustee,UC Berkeley Foundation
1306,UTAW,UCBF Awards Task Force,Member,UC Berkeley Foundation
1306,UTE,UCBF Executive Committee,Committee Member,UC Berkeley Foundation
1306,UTEM,UCBF Emeritus Trustees,Member,UC Berkeley Foundation
1306,UTG,UCBF Governance Committee,Chair,UC Berkeley Foundation
1306,UTG,UCBF Governance Committee,Vice Chair,UC Berkeley Foundation
1306,UTGN,UCBF Nominating Committee,Chair,UC Berkeley Foundation
1306,UTGN,UCBF Nominating Committee,Committee Member,UC Berkeley Foundation
1306,UTSP,*UCBF Strategic Planning Task Force,Member,UC Berkeley Foundation
1306,UTXO,UCBF Ex Officio Trustees,Member,UC Berkeley Foundation
1306,UUG6,*KTP Southern Califonia Steering Committ,Member,Univ Development/Alumni Relations - UDAR
1306,UUG8,*KTP San Gabriel Committee,Member,Univ Development/Alumni Relations - UDAR
1315,NULL,NULL,NULL,NULL
1328,BCH6,Chemistry Volunteer Fundraiser Committee,Member,Chemistry
1339,NULL,NULL,NULL,NULL
1347,AE2,CEE Advisory Council,Board Member,Engineering
1347,AE2,CEE Advisory Council,Emeritus Member,Engineering
1356,NULL,NULL,NULL,NULL
1373,NULL,NULL,NULL,NULL
1376,AA3,CAA Class Reunion Host Committee,Volunteer,Cal Alumni Association
1376,MO12,IGS National Advisory Council,Member,Governmental Studies Institute
1376,R1968,Class of 1968 Reunion Committee,Member,Milestone & Next Gen Philanthropy - UDAR
1381,AF1,Incentive Awards Program Honorary Commit,Member,Student Affairs
1381,BL4,L&S Advisory Board,Emeritus Member,Letters & Science
1381,BL4,L&S Advisory Board,Member,Letters & Science
1381,BVEXT,BoV External Affairs Committee,Member,Chancellor
1381,CVSC,*S Calif Leadership Gifts Committee-Defu,Committee Member,Major Gifts - UDAR
1381,R1961,Class of 1961 Reunion Committee,Member,Milestone & Next Gen Philanthropy - UDAR
1381,SCCC,Southern California Chancellor's Council,Member,Univ Development/Alumni Relations - UDAR
1381,UC5,Board of Visitors,Member,Chancellor
1381,UC6,Chancellor's Task Force-Alumni Engagemnt,Member,Chancellor
1381,UN3,Thanks To Berkeley So Cal Cmpgn Celeb Ho,Committee Member,Univ Development/Alumni Relations - UDAR
1381,URLA,LA Advisory Committee,Advisory Member,Univ Development/Alumni Relations - UDAR
1381,UT1,UCBF Elected Trustees - Term 1,Executive Officer,UC Berkeley Foundation
1381,UT1,UCBF Elected Trustees - Term 1,Trustee,UC Berkeley Foundation
1381,UT1,UCBF Elected Trustees - Term 1,Vice Chair,UC Berkeley Foundation
1381,UTC,*UCBF Campaign Steering Committee,Committee Member,UC Berkeley Foundation
1381,UTCFM,*UCBF Campaign Funding Model Task Force,Member,UC Berkeley Foundation
1381,UTD,UCBF Audit Committee,Chair,UC Berkeley Foundation
1381,UTE,UCBF Executive Committee,Chair,UC Berkeley Foundation
1381,UTE,UCBF Executive Committee,Committee Member,UC Berkeley Foundation
1381,UTE,UCBF Executive Committee,Vice Chair,UC Berkeley Foundation
1381,UTEM,UCBF Emeritus Trustees,Member,UC Berkeley Foundation
1381,UTEXA,BoV-UCBF External Affairs Committee,Member,Chancellor
1381,UTF,UCBF Finance & Administration Committee,Committee Member,UC Berkeley Foundation
1381,UTG,UCBF Governance Committee,Committee Member,UC Berkeley Foundation
1381,UTGN,UCBF Nominating Committee,Committee Member,UC Berkeley Foundation
1381,UTP,UCBF Programs Committee,Committee Member,UC Berkeley Foundation
