entity_id,interest_code,interest_desc
29,CIV,Civic Affairs
29,REP,Republican Politics
51,ETL,Entertainment Law
59,NULL,NULL
72,APP,Appellate Practice Law
72,ART,Arts
72,BCL,Business & Corporate Law
72,CAC,Class Action Law
72,CIV,Civic Affairs
72,DEM,Democratic Politics
72,HCR,Health Care Law
72,ISC,Insurance Law
72,LAW,Law
72,LTG,Litigation
72,REP,Republican Politics
72,TRT,Tort Law
80,CIV,Civic Affairs
80,DEM,Democratic Politics
151,DAN,Dance
151,MUS,Music
194,NULL,NULL
222,NULL,NULL
235,MKT,Marketing
258,NULL,NULL
295,CIV,Civic Affairs
295,DEM,Democratic Politics
295,DIV,Diverse Constituencies
295,WOM,Women
297,NULL,NULL
347,NULL,NULL
352,CIV,Civic Affairs
352,REP,Republican Politics
417,NULL,NULL
443,NULL,NULL
461,NULL,NULL
463,NULL,NULL
464,NULL,NULL
486,ACC,Accounting
490,NULL,NULL
517,ENV,Environment
517,HEA,Health
517,IND,Interior Design
567,GOL,Golf
567,RLA,Real Estate
567,SOC,Soccer
572,CIV,Civic Affairs
572,REP,Republican Politics
574,NULL,NULL
576,NULL,NULL
597,NULL,NULL
604,CIV,Civic Affairs
604,REP,Republican Politics
632,CIV,Civic Affairs
632,REP,Republican Politics
647,BCL,Business & Corporate Law
647,SEC,Securities Law
713,AUT,Automobiles
724,ADL,Administrative Law
724,CIV,Civic Affairs
724,CRL,Civil Rights Law
724,CST,Constitutional Law
724,DEM,Democratic Politics
724,DIV,Diverse Constituencies
724,ISR,Israeli Interests
732,NULL,NULL
775,NULL,NULL
776,CIV,Civic Affairs
776,REP,Republican Politics
809,CIV,Civic Affairs
809,DEM,Democratic Politics
809,GAR,Gardening
809,HOB,Hobbies
841,BTC,Biotechnology
841,CIV,Civic Affairs
841,REP,Republican Politics
846,COM,Computers
846,HEA,Health
867,CIV,Civic Affairs
867,DEM,Democratic Politics
867,DIV,Diverse Constituencies
867,EDU,Education
867,JUC,Jewish Interests
867,PCY,Public Policy
867,POL,Politics
867,WOM,Women
885,NULL,NULL
899,NULL,NULL
953,NULL,NULL
