entity_id,student_activity_code,student_activity_desc,student_particip_desc,activity_office_desc
29,GPGD,Phi Gamma Delta,Participated,NULL
51,NULL,NULL,NULL,NULL
59,GCE,Chi Epsilon Civil Eng Honor Society,Participated,NULL
72,BCLT,Berkeley Center for Law and Technology,Participated,NULL
72,SFSM,Cal Forensics Society Member,Participated,NULL
80,GACO,Alpha Chi Omega,Participated,NULL
80,SPRL,UC Rally Committee Alumnus,Participated,NULL
151,CLAS,ASUC Officer/Senator,Participated,President
151,GSAE,Sigma Alpha Epsilon,Participated,NULL
151,SPRL,UC Rally Committee Alumnus,Participated,NULL
194,GTKF,Tau Kappa Epsilon Fraternity,Participated,NULL
222,GCO,Chi Omega,Participated,NULL
235,RHUV,University (Albany) Village Residnt,Participated,NULL
258,NULL,NULL,NULL,NULL
295,NULL,NULL,NULL,NULL
297,NULL,NULL,NULL,NULL
347,GLCA,Lambda Chi Alpha Fraternity,Participated,NULL
352,GDKE,Delta Kappa Epsilon,Participated,NULL
417,GZBT,Zeta Beta Tau,Participated,NULL
443,RHI5,1953-62 I-House Resident,Participated,NULL
443,RHIH,International House Resident,Participated,NULL
443,RHUV,University (Albany) Village Residnt,Participated,NULL
461,NULL,NULL,NULL,NULL
463,GTBP,Tau Beta Pi Engineers' Honors Society,Participated,NULL
463,UGSL,General/Other Student Leaders,Participated,NULL
464,NULL,NULL,NULL,NULL
486,NULL,NULL,NULL,NULL
490,NULL,NULL,NULL,NULL
517,GADI,Alpha Delta Pi,Participated,NULL
567,GBAP,Beta Alpha Psi Schol Fraternity,Participated,NULL
567,GPKP,Phi Kappa Psi,Participated,NULL
572,GKKG,Kappa Kappa Gamma,Participated,NULL
574,RHI5,1953-62 I-House Resident,Participated,NULL
574,RHIH,International House Resident,Participated,NULL
576,NULL,NULL,NULL,NULL
597,NULL,NULL,NULL,NULL
604,RHSC,Univ Students Co-op Assoc. Resident,Participated,NULL
632,GTDC,Theta Delta Chi,Participated,NULL
632,RHBH,Bowles Hall Resident,Participated,NULL
647,BCLT,Berkeley Center for Law and Technology,Participated,NULL
647,CLRV,California Law Review,Participated,NULL
647,GAEP,Alpha Epsilon Pi,Participated,NULL
647,SPOC,UC Oski Committee Alumni,Participated,NULL
713,GBTP,Beta Theta Pi,Participated,NULL
724,AALS,Association of American Law Schools,Participated,NULL
724,CLRV,California Law Review,Participated,NULL
724,GKN,Kappa Nu,Participated,NULL
724,GZBT,Zeta Beta Tau,Participated,NULL
732,GPUF,Psi Upsilon Fraternity,Participated,NULL
775,GSAE,Sigma Alpha Epsilon,Participated,NULL
776,NULL,NULL,NULL,NULL
809,NULL,NULL,NULL,NULL
841,NULL,NULL,NULL,NULL
846,RHSC,Univ Students Co-op Assoc. Resident,Participated,NULL
867,NULL,NULL,NULL,NULL
885,NULL,NULL,NULL,NULL
899,NULL,NULL,NULL,NULL
953,GTBP,Tau Beta Pi Engineers' Honors Society,Participated,NULL
968,NULL,NULL,NULL,NULL
1015,RHUV,University (Albany) Village Residnt,Participated,NULL
1023,GSCF,Sigma Chi Fraternity,Participated,NULL
1035,GDDD,Delta Delta Delta,Participated,NULL
1102,NULL,NULL,NULL,NULL
1103,NULL,NULL,NULL,NULL
1109,NULL,NULL,NULL,NULL
1126,GSAM,Sigma Alpha Mu,Participated,NULL
1126,RHI5,1953-62 I-House Resident,Participated,NULL
1126,RHI6,1963-72 I-House Resident,Participated,NULL
1126,RHIH,International House Resident,Participated,NULL
1128,NULL,NULL,NULL,NULL
1151,GSAE,Sigma Alpha Epsilon,Participated,NULL
1151,SFSM,Cal Forensics Society Member,Participated,NULL
1163,PCMYS,Peace Corps - Malaysia,Participated,NULL
1168,RHSC,Univ Students Co-op Assoc. Resident,Participated,NULL
1169,NULL,NULL,NULL,NULL
1184,GLCA,Lambda Chi Alpha Fraternity,Participated,NULL
1194,GPLP,Pi Lambda Phi,Participated,NULL
1194,GTBP,Tau Beta Pi Engineers' Honors Society,Participated,NULL
1196,GZBT,Zeta Beta Tau,Participated,NULL
1202,GZBT,Zeta Beta Tau,Participated,NULL
1207,CLAS,ASUC Officer/Senator,Participated,President
1207,SFSM,Cal Forensics Society Member,Participated,NULL
1207,UGSL,General/Other Student Leaders,Participated,NULL
1208,NULL,NULL,NULL,NULL
1233,GAPO,Alpha Phi Omega Nat'l Service Frat.,Participated,NULL
1234,UGSL,General/Other Student Leaders,Participated,NULL
1262,AHSS,Honor Students' Society,Participated,NULL
1301,NULL,NULL,NULL,NULL
1306,AMB,Mortar Board National Honor Society,Participated,NULL
1306,CLAS,ASUC Officer/Senator,Participated,NULL
1306,GSK,Sigma Kappa,Participated,NULL
1306,SPRL,UC Rally Committee Alumnus,Participated,NULL
1315,CLCP,Cal in the Capital Intern,Participated,NULL
1328,MSMB,UC Marching Band Member,Participated,NULL
1339,NULL,NULL,NULL,NULL
1347,GDC,Delta Chi,Participated,NULL
1347,GTBP,Tau Beta Pi Engineers' Honors Society,Participated,NULL
1347,UGSL,General/Other Student Leaders,Participated,NULL
1356,SCCC,Cal Corps Friends and Alumni,Participated,NULL
1373,NULL,NULL,NULL,NULL
1376,PCCHL,Peace Corps - Chile,Participated,NULL
1376,SCCC,Cal Corps Friends and Alumni,Participated,NULL
1381,NULL,NULL,NULL,NULL
1425,NULL,NULL,NULL,NULL
1432,NULL,NULL,NULL,NULL
1443,NULL,NULL,NULL,NULL
1456,NULL,NULL,NULL,NULL
1459,EAGBR,Education Abroad Program - United Kingdo,Participated,NULL
1466,NULL,NULL,NULL,NULL
1489,NULL,NULL,NULL,NULL
1518,GDUP,Delta Upsilon,Participated,NULL
1518,TCAF,Air Force ROTC,Participated,NULL
1518,UGSL,General/Other Student Leaders,Participated,NULL
1600,NULL,NULL,NULL,NULL
1681,GAXD,Alpha Xi Delta Sorority,Participated,NULL
1687,RHI6,1963-72 I-House Resident,Participated,NULL
1687,RHIH,International House Resident,Participated,NULL
1687,SCCC,Cal Corps Friends and Alumni,Participated,NULL
1699,NULL,NULL,NULL,NULL
1727,SCCC,Cal Corps Friends and Alumni,Participated,NULL
1758,GGPB,Gamma Phi Beta,Participated,NULL
1790,RHSH,Stern Hall Resident,Participated,NULL
1796,CFSJ,Center for Social Justice,Participated,NULL
1796,SFSM,Cal Forensics Society Member,Participated,NULL
1796,UGSL,General/Other Student Leaders,Participated,NULL
1802,CLAS,ASUC Officer/Senator,Participated,NULL
1802,GDTD,Delta Tau Delta,Participated,NULL
1802,PCCOL,Peace Corps - Colombia,Participated,NULL
1816,GADI,Alpha Delta Pi,Participated,NULL
1845,NULL,NULL,NULL,NULL
1850,CLAS,ASUC Officer/Senator,Participated,NULL
1850,GDSP,Delta Sigma Phi,Participated,NULL
1850,SPRL,UC Rally Committee Alumnus,Participated,NULL
1868,NULL,NULL,NULL,NULL
1876,UGSL,General/Other Student Leaders,Participated,NULL
1920,NULL,NULL,NULL,NULL
1930,GKKG,Kappa Kappa Gamma,Participated,NULL
1977,GCO,Chi Omega,Participated,NULL
1994,NULL,NULL,NULL,NULL
2008,NULL,NULL,NULL,NULL
2092,GTBP,Tau Beta Pi Engineers' Honors Society,Participated,NULL
2095,GKD,Kappa Delta,Participated,NULL
