entity_id,awd_honor_code,awd_honor_desc
4,NULL,NULL
29,NULL,NULL
31,NULL,NULL
39,NULL,NULL
51,NULL,NULL
54,NULL,NULL
59,NULL,NULL
72,NULL,NULL
80,NULL,NULL
98,NULL,NULL
114,NULL,NULL
116,NULL,NULL
151,NULL,NULL
194,NULL,NULL
222,NULL,NULL
235,NULL,NULL
246,PBK,Phi Beta Kappa
258,NULL,NULL
260,NULL,NULL
265,NULL,NULL
280,NULL,NULL
282,NULL,NULL
295,NULL,NULL
297,NULL,NULL
301,NULL,NULL
342,NULL,NULL
344,NULL,NULL
347,NULL,NULL
350,NULL,NULL
352,NULL,NULL
371,NULL,NULL
388,CAL,CAA Leadership Award Scholar
391,NULL,NULL
409,NULL,NULL
417,NULL,NULL
439,NULL,NULL
443,NULL,NULL
459,NULL,NULL
461,NULL,NULL
463,NULL,NULL
464,NULL,NULL
470,NULL,NULL
476,NULL,NULL
480,NULL,NULL
485,NULL,NULL
490,NULL,NULL
496,CAA,Alumnus/a of the Year Award
496,OTH,Other Award
501,NULL,NULL
517,CAX,CAA Excellence in Service Award
517,TRC,Trustees' Citation
517,WOA,Wheeler Oak Meritorious Award
543,NULL,NULL
548,NULL,NULL
556,NULL,NULL
567,NULL,NULL
572,NULL,NULL
574,NULL,NULL
576,NULL,NULL
583,NULL,NULL
597,NULL,NULL
604,NULL,NULL
609,NULL,NULL
617,NULL,NULL
618,NULL,NULL
632,AHF,California Athletics Hall of Fame
642,NULL,NULL
647,LWO,Order of the Coif
667,NULL,NULL
706,NULL,NULL
713,NULL,NULL
724,LWO,Order of the Coif
732,NULL,NULL
772,NULL,NULL
775,NULL,NULL
776,NULL,NULL
790,NULL,NULL
792,NULL,NULL
806,NULL,NULL
809,NULL,NULL
841,NULL,NULL
846,CAL,CAA Leadership Award Scholar
851,NULL,NULL
865,NULL,NULL
867,NULL,NULL
883,NULL,NULL
885,CAX,CAA Excellence in Service Award
899,NULL,NULL
900,LWO,Order of the Coif
953,NULL,NULL
965,NULL,NULL
