entity_id,committee_code,committee_desc,committee_role_desc,unit_desc
4,NULL,NULL,NULL,NULL
29,NE2,Engineering Annual Fund Volunteers Commi,Volunteer,Engineering
31,ME5,Engineerng Alumni Society-So Cal Board O,Director,Cal Alumni Association
31,NE2,Engineering Annual Fund Volunteers Commi,Volunteer,Engineering
39,NULL,NULL,NULL,NULL
51,NULL,NULL,NULL,NULL
54,NULL,NULL,NULL,NULL
59,NULL,NULL,NULL,NULL
72,UUA7,*KTP Volunteer,Member,Univ Development/Alumni Relations - UDAR
80,NULL,NULL,NULL,NULL
98,NULL,NULL,NULL,NULL
114,NULL,NULL,NULL,NULL
116,NULL,NULL,NULL,NULL
151,BA1,CAA Board of Directors,Director,Cal Alumni Association
151,BA1,CAA Board of Directors,Vice President at Large,Cal Alumni Association
151,R1957,Class of 1957 Reunion Committee,Member,Milestone & Next Gen Philanthropy - UDAR
151,UA2,*Cal Annual Fund Advisory Committee-Defu,Committee Member,Univ Development/Alumni Relations - UDAR
194,NULL,NULL,NULL,NULL
222,NULL,NULL,NULL,NULL
235,AU1,*Haas Cal Business Alumni Board,Board Member,Business
246,NULL,NULL,NULL,NULL
258,NULL,NULL,NULL,NULL
260,BL1,*L&S Executive Board,Board Member,Letters & Science
260,CVLA,*Greater LA Committee-Defunct,Board Member,Univ Development/Alumni Relations - UDAR
260,UT1,UCBF Elected Trustees - Term 1,Appointed Trustee-LS,UC Berkeley Foundation
260,UUA7,*KTP Volunteer,Member,Univ Development/Alumni Relations - UDAR
265,NULL,NULL,NULL,NULL
280,NULL,NULL,NULL,NULL
282,NULL,NULL,NULL,NULL
295,NULL,NULL,NULL,NULL
297,NULL,NULL,NULL,NULL
301,NULL,NULL,NULL,NULL
342,NULL,NULL,NULL,NULL
344,BA1,CAA Board of Directors,Director,Cal Alumni Association
344,UUG0,*KTP Santa Clara Committee,Member,Univ Development/Alumni Relations - UDAR
347,NULL,NULL,NULL,NULL
350,NULL,NULL,NULL,NULL
352,NULL,NULL,NULL,NULL
371,NULL,NULL,NULL,NULL
388,NULL,NULL,NULL,NULL
391,NULL,NULL,NULL,NULL
409,NULL,NULL,NULL,NULL
417,NULL,NULL,NULL,NULL
439,NULL,NULL,NULL,NULL
443,NULL,NULL,NULL,NULL
459,BB1,*Bear Backer Council-Defunct,Board Member,Intercollegiate Athletics
459,MB1,Big C Board of Directors,Board Member,Intercollegiate Athletics
461,NULL,NULL,NULL,NULL
463,NULL,NULL,NULL,NULL
464,NULL,NULL,NULL,NULL
470,MW1,Berkeley Law Alumni Assn Director Board,Board Member,Law
470,MW1,Berkeley Law Alumni Assn Director Board,Member,Law
470,MW1,Berkeley Law Alumni Assn Director Board,Treasurer,Law
470,MW1,Berkeley Law Alumni Assn Director Board,Vice President,Law
470,UUH8,*Law Campaign Committee,Member,Law
476,AA3,CAA Class Reunion Host Committee,Volunteer,Cal Alumni Association
476,BB2,Bear Backer Board of Directors,Board Member,Intercollegiate Athletics
476,MTLCB,Mark Twain Luncheon Club Board,Member,Library
476,R1958,Class of 1958 Reunion Committee,Member,Milestone & Next Gen Philanthropy - UDAR
480,UUH8,*Law Campaign Committee,Member,Law
485,NULL,NULL,NULL,NULL
490,NULL,NULL,NULL,NULL
496,CVSC,*S Calif Leadership Gifts Committee-Defu,Committee Member,Major Gifts - UDAR
496,UUA7,*KTP Volunteer,Member,Univ Development/Alumni Relations - UDAR
496,UUF5,*KTP Honorary Committee,Member,Univ Development/Alumni Relations - UDAR
496,UUG6,*KTP Southern Califonia Steering Committ,Member,Univ Development/Alumni Relations - UDAR
501,CVLA,*Greater LA Committee-Defunct,Board Member,Univ Development/Alumni Relations - UDAR
517,BN1,CNR Advisory Board,Member,Natural Resources
517,BU1,Haas School of Business Board,Board Member,Business
517,CVOC,*Orange County Committee-Defunct,Chair,Univ Development/Alumni Relations - UDAR
517,DGD1,*Graduate Fellowships Advisory Board,Member,Graduate Division
517,MH1,Public Health Policy Advisory Council,Member,Public Health
517,MH2,*Public Health Genetic Counseling Cmte,Committee Member,Public Health
517,R1965,Class of 1965 Reunion Committee,Member,Milestone & Next Gen Philanthropy - UDAR
517,UA1,*UCBF Trustees Annual Programs,Committee Member,UC Berkeley Foundation
517,UN3,Thanks To Berkeley So Cal Cmpgn Celeb Ho,Committee Member,Univ Development/Alumni Relations - UDAR
517,UP1,*Public Affairs Cal Parents Prgrm Board,Board Member,Parent Philanthropy & Engagement - UDAR
517,UT1,UCBF Elected Trustees - Term 1,Advisory Trustee,UC Berkeley Foundation
517,UT1,UCBF Elected Trustees - Term 1,Trustee,UC Berkeley Foundation
517,UTEM,UCBF Emeritus Trustees,Member,UC Berkeley Foundation
517,UTL,*UCBF Long Range Planning Committee,Chair,UC Berkeley Foundation
517,UTL,*UCBF Long Range Planning Committee,Vice Chair,UC Berkeley Foundation
517,UTPS,*UCBF Stewardship Strategy Working Group,Committee Member,UC Berkeley Foundation
517,UUA7,*KTP Volunteer,Member,Univ Development/Alumni Relations - UDAR
517,UUH0,*KTP Orange County Committee,Member,Univ Development/Alumni Relations - UDAR
517,UUH3,*Haas Campaign Exec Committee,Member,Business
543,NULL,NULL,NULL,NULL
548,BL1,*L&S Executive Board,Board Member,Letters & Science
548,UT1,UCBF Elected Trustees - Term 1,Advisory Trustee,UC Berkeley Foundation
548,UT1,UCBF Elected Trustees - Term 1,Trustee,UC Berkeley Foundation
548,UTENV,UCBF Environmental Social Governance Sub,Member,UC Berkeley Foundation
548,UTIT,UCBF Trusts and Annuities Subcommittee,Committee Member,UC Berkeley Foundation
548,UTP,UCBF Programs Committee,Committee Member,UC Berkeley Foundation
556,NULL,NULL,NULL,NULL
567,NULL,NULL,NULL,NULL
572,NULL,NULL,NULL,NULL
574,DGD1,*Graduate Fellowships Advisory Board,Member,Graduate Division
574,UTXO,UCBF Ex Officio Trustees,Member,UC Berkeley Foundation
574,UUA7,*KTP Volunteer,Member,Univ Development/Alumni Relations - UDAR
576,UUA7,*KTP Volunteer,Member,Univ Development/Alumni Relations - UDAR
583,NULL,NULL,NULL,NULL
597,UUA7,*KTP Volunteer,Member,Univ Development/Alumni Relations - UDAR
