entity_id,interest_code,interest_desc
4,NULL,NULL
29,CIV,Civic Affairs
29,REP,Republican Politics
31,CIV,Civic Affairs
31,DEM,Democratic Politics
31,FLY,Flying/Airplane Ownership
39,NULL,NULL
51,ETL,Entertainment Law
54,NULL,NULL
59,NULL,NULL
72,APP,Appellate Practice Law
72,ART,Arts
72,BCL,Business & Corporate Law
72,CAC,Class Action Law
72,CIV,Civic Affairs
72,DEM,Democratic Politics
72,HCR,Health Care Law
72,ISC,Insurance Law
72,LAW,Law
72,LTG,Litigation
72,REP,Republican Politics
72,TRT,Tort Law
80,CIV,Civic Affairs
80,DEM,Democratic Politics
98,NULL,NULL
114,ATH,Athletics
114,CIV,Civic Affairs
114,REP,Republican Politics
116,NULL,NULL
151,DAN,Dance
151,MUS,Music
194,NULL,NULL
222,NULL,NULL
235,MKT,Marketing
246,NULL,NULL
258,NULL,NULL
260,CIV,Civic Affairs
260,DEM,Democratic Politics
260,HUN,Hunting
260,LAW,Law
260,REP,Republican Politics
265,NULL,NULL
280,CIV,Civic Affairs
280,DEM,Democratic Politics
280,POL,Politics
282,NULL,NULL
295,CIV,Civic Affairs
295,DEM,Democratic Politics
295,DIV,Diverse Constituencies
295,WOM,Women
297,NULL,NULL
301,BCL,Business & Corporate Law
301,IPR,Intellectual Property Law
342,NULL,NULL
344,NULL,NULL
347,NULL,NULL
350,NULL,NULL
352,CIV,Civic Affairs
352,REP,Republican Politics
371,ATH,Athletics
371,HEA,Health
371,MEI,Medicine
388,NULL,NULL
391,CIV,Civic Affairs
391,DEM,Democratic Politics
409,NULL,NULL
417,NULL,NULL
439,NULL,NULL
443,NULL,NULL
459,NULL,NULL
461,NULL,NULL
463,NULL,NULL
464,NULL,NULL
470,APP,Appellate Practice Law
470,BCL,Business & Corporate Law
470,CIV,Civic Affairs
470,DEM,Democratic Politics
470,INL,International Law
470,IPR,Intellectual Property Law
470,LTG,Litigation
470,RST,Real Estate Law
470,SEC,Securities Law
470,WCC,White Collar Crime Law
476,NULL,NULL
