entity_id,caa_latest_memb_type_code,caa_latest_memb_type_desc,caa_latest_memb_status_desc
4,RL,CAA Regular Life Member,Paid
29,RL,CAA Regular Life Member,Paid
31,RL,CAA Regular Life Member,Paid
39,RL,CAA Regular Life Member,Paid
51,SL,CAA Sr. Citizen Life,Paid
54,RL,CAA Regular Life Member,Paid
59,SL,CAA Sr. Citizen Life,Paid
72,NULL,NULL,NULL
80,RL,CAA Regular Life Member,Paid
98,RL,CAA Regular Life Member,Paid
114,LB,CAA Golden Bear Life Upgrade,Paid
116,RL,CAA Regular Life Member,Paid
151,RL,CAA Regular Life Member,Paid
194,RL,CAA Regular Life Member,Paid
222,SP,CAA Spouse Life,Paid
235,RL,CAA Regular Life Member,Paid
246,RL,CAA Regular Life Member,Paid
258,RL,CAA Regular Life Member,Paid
260,RL,CAA Regular Life Member,Paid
265,LB,CAA Golden Bear Life Upgrade,Paid
280,RA,CAA Regular Annual,Lapsed
282,NULL,NULL,NULL
295,LB,CAA Golden Bear Life Upgrade,Paid
297,RL,CAA Regular Life Member,Paid
301,NULL,NULL,NULL
342,RL,CAA Regular Life Member,Paid
344,RL,CAA Regular Life Member,Paid
347,RA,CAA Regular Annual,Lapsed
350,RL,CAA Regular Life Member,Paid
352,RL,CAA Regular Life Member,Paid
371,NULL,NULL,NULL
388,RL,CAA Regular Life Member,Paid
391,RL,CAA Regular Life Member,Paid
409,RL,CAA Regular Life Member,Paid
417,LB,CAA Golden Bear Life Upgrade,Paid
439,NULL,NULL,NULL
443,SR,CAA Sr. Citizen Annual,Paid
459,RA,CAA Regular Annual,Lapsed
461,LB,CAA Golden Bear Life Upgrade,Paid
463,RL,CAA Regular Life Member,Paid
464,LB,CAA Golden Bear Life Upgrade,Paid
470,SR,CAA Sr. Citizen Annual,Lapsed
476,RL,CAA Regular Life Member,Paid
480,RA,CAA Regular Annual,Lapsed
485,RL,CAA Regular Life Member,Paid
490,RL,CAA Regular Life Member,Paid
496,RL,CAA Regular Life Member,Paid
501,RA,CAA Regular Annual,Lapsed
517,RL,CAA Regular Life Member,Paid
543,NULL,NULL,NULL
548,SP,CAA Spouse Life,Paid
556,RL,CAA Regular Life Member,Paid
567,RL,CAA Regular Life Member,Paid
572,SR,CAA Sr. Citizen Annual,Paid
574,RL,CAA Regular Life Member,Paid
576,RL,CAA Regular Life Member,Paid
583,RL,CAA Regular Life Member,Paid
597,RL,CAA Regular Life Member,Paid
604,LB,CAA Golden Bear Life Upgrade,Paid
609,RL,CAA Regular Life Member,Paid
617,RL,CAA Regular Life Member,Paid
618,RL,CAA Regular Life Member,Paid
632,RL,CAA Regular Life Member,Paid
642,NULL,NULL,NULL
647,RL,CAA Regular Life Member,Paid
667,NULL,NULL,NULL
706,RA,CAA Regular Annual,Lapsed
713,RL,CAA Regular Life Member,Paid
724,RL,CAA Regular Life Member,Paid
732,LB,CAA Golden Bear Life Upgrade,Paid
772,RA,CAA Regular Annual,Lapsed
775,RA,CAA Regular Annual,Lapsed
776,LB,CAA Golden Bear Life Upgrade,Paid
790,RL,CAA Regular Life Member,Paid
792,RL,CAA Regular Life Member,Paid
806,LB,CAA Golden Bear Life Upgrade,Paid
809,RL,CAA Regular Life Member,Paid
841,SL,CAA Sr. Citizen Life,Paid
846,LB,CAA Golden Bear Life Upgrade,Paid
851,RA,CAA Regular Annual,Lapsed
865,NULL,NULL,NULL
867,RL,CAA Regular Life Member,Paid
883,RL,CAA Regular Life Member,Paid
885,LB,CAA Golden Bear Life Upgrade,Paid
899,LB,CAA Golden Bear Life Upgrade,Paid
900,RL,CAA Regular Life Member,Paid
953,RL,CAA Regular Life Member,Paid
965,RL,CAA Regular Life Member,Paid
968,RL,CAA Regular Life Member,Paid
978,LB,CAA Golden Bear Life Upgrade,Paid
987,RL,CAA Regular Life Member,Paid
1006,RL,CAA Regular Life Member,Paid
1015,SL,CAA Sr. Citizen Life,Paid
1023,RA,CAA Regular Annual,Lapsed
1035,RL,CAA Regular Life Member,Paid
1057,FP,CAA Life Member - Paid In Full,Paid
1064,SR,CAA Sr. Citizen Annual,Paid
1066,RL,CAA Regular Life Member,Paid
1092,RL,CAA Regular Life Member,Paid
1102,RL,CAA Regular Life Member,Paid
1103,LB,CAA Golden Bear Life Upgrade,Paid
1109,RA,CAA Regular Annual,Lapsed
1121,SR,CAA Sr. Citizen Annual,Lapsed
1126,RL,CAA Regular Life Member,Paid
1128,SR,CAA Sr. Citizen Annual,Lapsed
1151,RL,CAA Regular Life Member,Paid
1155,RL,CAA Regular Life Member,Paid
1162,RL,CAA Regular Life Member,Paid
1163,RL,CAA Regular Life Member,Paid
1168,RL,CAA Regular Life Member,Paid
1169,RL,CAA Regular Life Member,Paid
1177,NULL,NULL,NULL
1184,SR,CAA Sr. Citizen Annual,Paid
1194,RA,CAA Regular Annual,Paid
1196,RL,CAA Regular Life Member,Paid
1197,RL,CAA Regular Life Member,Paid
1202,RL,CAA Regular Life Member,Paid
1207,LB,CAA Golden Bear Life Upgrade,Paid
1208,FP,CAA Life Member - Paid In Full,Paid
1222,RL,CAA Regular Life Member,Paid
1233,RL,CAA Regular Life Member,Paid
1234,RL,CAA Regular Life Member,Paid
1245,RA,CAA Regular Annual,Lapsed
1262,SR,CAA Sr. Citizen Annual,Paid
1287,RL,CAA Regular Life Member,Paid
1296,RL,CAA Regular Life Member,Paid
1301,RL,CAA Regular Life Member,Paid
1302,RL,CAA Regular Life Member,Paid
1306,RL,CAA Regular Life Member,Paid
1315,SR,CAA Sr. Citizen Annual,Lapsed
1323,NULL,NULL,NULL
1328,RL,CAA Regular Life Member,Paid
1330,RL,CAA Regular Life Member,Paid
1335,RL,CAA Regular Life Member,Paid
1339,RL,CAA Regular Life Member,Paid
1347,RL,CAA Regular Life Member,Paid
1353,RL,CAA Regular Life Member,Paid
1373,RL,CAA Regular Life Member,Paid
1376,RL,CAA Regular Life Member,Paid
1379,NULL,NULL,NULL
1381,LB,CAA Golden Bear Life Upgrade,Paid
1417,RL,CAA Regular Life Member,Paid
1425,SP,CAA Spouse Life,Paid
1428,NULL,NULL,NULL
1432,LB,CAA Golden Bear Life Upgrade,Paid
1443,RL,CAA Regular Life Member,Paid
1447,RL,CAA Regular Life Member,Paid
1456,SL,CAA Sr. Citizen Life,Paid
1459,RA,CAA Regular Annual,Lapsed
1466,RL,CAA Regular Life Member,Paid
1489,RL,CAA Regular Life Member,Paid
1495,RL,CAA Regular Life Member,Paid
1506,RA,CAA Regular Annual,Lapsed
1508,LB,CAA Golden Bear Life Upgrade,Paid
1511,LB,CAA Golden Bear Life Upgrade,Paid
1513,RA,CAA Regular Annual,Lapsed
1518,RL,CAA Regular Life Member,Paid
1519,NULL,NULL,NULL
1532,RL,CAA Regular Life Member,Paid
1564,RL,CAA Regular Life Member,Paid
1568,RL,CAA Regular Life Member,Paid
1581,RA,CAA Regular Annual,Lapsed
1584,P6,CAA Life Annual - Sr. Citizen,Active
1594,RA,CAA Regular Annual,Lapsed
1600,LB,CAA Golden Bear Life Upgrade,Paid
1602,LB,CAA Golden Bear Life Upgrade,Paid
1616,SP,CAA Spouse Life,Paid
1629,NULL,NULL,NULL
1652,RL,CAA Regular Life Member,Paid
1655,RL,CAA Regular Life Member,Paid
1677,SR,CAA Sr. Citizen Annual,Paid
1681,NULL,NULL,NULL
1687,LB,CAA Golden Bear Life Upgrade,Paid
1690,RL,CAA Regular Life Member,Paid
1699,RL,CAA Regular Life Member,Paid
1711,RL,CAA Regular Life Member,Paid
1721,RL,CAA Regular Life Member,Paid
1727,RL,CAA Regular Life Member,Paid
1758,SL,CAA Sr. Citizen Life,Paid
1762,RL,CAA Regular Life Member,Paid
1768,SP,CAA Spouse Life,Paid
1773,RL,CAA Regular Life Member,Paid
1790,RL,CAA Regular Life Member,Paid
1796,SP,CAA Spouse Life,Paid
1802,NULL,NULL,NULL
1804,RL,CAA Regular Life Member,Paid
1816,SL,CAA Sr. Citizen Life,Paid
1828,RA,CAA Regular Annual,Lapsed
1845,NULL,NULL,NULL
1850,RL,CAA Regular Life Member,Paid
1868,RL,CAA Regular Life Member,Paid
1871,RL,CAA Regular Life Member,Paid
1876,RL,CAA Regular Life Member,Paid
1893,RL,CAA Regular Life Member,Paid
1920,RL,CAA Regular Life Member,Paid
1930,LB,CAA Golden Bear Life Upgrade,Paid
1949,SP,CAA Spouse Life,Paid
1975,RL,CAA Regular Life Member,Paid
1977,SP,CAA Spouse Life,Paid
2008,SR,CAA Sr. Citizen Annual,Paid
2017,RL,CAA Regular Life Member,Paid
2032,RL,CAA Regular Life Member,Paid
2034,SL,CAA Sr. Citizen Life,Paid
2055,LB,CAA Golden Bear Life Upgrade,Paid
2066,NULL,NULL,NULL
2092,RL,CAA Regular Life Member,Paid
2095,RL,CAA Regular Life Member,Paid
2097,RL,CAA Regular Life Member,Paid
2109,RL,CAA Regular Life Member,Paid
2113,RL,CAA Regular Life Member,Paid
2114,RL,CAA Regular Life Member,Paid
2115,RL,CAA Regular Life Member,Paid
2116,NULL,NULL,NULL
2121,RA,CAA Regular Annual,Lapsed
2130,NULL,NULL,NULL
2131,RL,CAA Regular Life Member,Paid
2134,NULL,NULL,NULL
2153,LB,CAA Golden Bear Life Upgrade,Paid
2164,RL,CAA Regular Life Member,Paid
2166,SR,CAA Sr. Citizen Annual,Paid
2170,RL,CAA Regular Life Member,Paid
2186,RL,CAA Regular Life Member,Paid
2199,NULL,NULL,NULL
2204,RL,CAA Regular Life Member,Paid
2232,LB,CAA Golden Bear Life Upgrade,Paid
2239,RL,CAA Regular Life Member,Paid
2257,RA,CAA Regular Annual,Lapsed
2279,RL,CAA Regular Life Member,Paid
2281,NULL,NULL,NULL
2286,RA,CAA Regular Annual,Lapsed
2308,NULL,NULL,NULL
2313,RL,CAA Regular Life Member,Paid
2315,GL,CAA Recent Grad Life,Paid
2326,RL,CAA Regular Life Member,Paid
2339,RL,CAA Regular Life Member,Paid
2343,NULL,NULL,NULL
2345,RL,CAA Regular Life Member,Paid
2346,NULL,NULL,NULL
2362,RL,CAA Regular Life Member,Paid
2379,RL,CAA Regular Life Member,Paid
2388,LB,CAA Golden Bear Life Upgrade,Paid
2389,LB,CAA Golden Bear Life Upgrade,Paid
2394,LB,CAA Golden Bear Life Upgrade,Paid
2412,SL,CAA Sr. Citizen Life,Paid
2436,RA,CAA Regular Annual,Lapsed
2463,RL,CAA Regular Life Member,Paid
2520,SR,CAA Sr. Citizen Annual,Lapsed
2532,RL,CAA Regular Life Member,Paid
2546,RL,CAA Regular Life Member,Paid
2559,RL,CAA Regular Life Member,Paid
2615,LB,CAA Golden Bear Life Upgrade,Paid
2616,RL,CAA Regular Life Member,Paid
2629,FP,CAA Life Member - Paid In Full,Paid
2642,RL,CAA Regular Life Member,Paid
2653,SR,CAA Sr. Citizen Annual,Paid
2657,RL,CAA Regular Life Member,Paid
2665,RL,CAA Regular Life Member,Paid
2666,RL,CAA Regular Life Member,Paid
2681,RL,CAA Regular Life Member,Paid
2685,LB,CAA Golden Bear Life Upgrade,Paid
2694,LB,CAA Golden Bear Life Upgrade,Paid
2705,RL,CAA Regular Life Member,Paid
2712,SL,CAA Sr. Citizen Life,Paid
2723,LB,CAA Golden Bear Life Upgrade,Paid
2739,SL,CAA Sr. Citizen Life,Paid
2740,SL,CAA Sr. Citizen Life,Paid
2745,LB,CAA Golden Bear Life Upgrade,Paid
2748,LB,CAA Golden Bear Life Upgrade,Paid
2757,NULL,NULL,NULL
2758,RL,CAA Regular Life Member,Paid
2761,RA,CAA Regular Annual,Lapsed
2775,LB,CAA Golden Bear Life Upgrade,Paid
2777,RA,CAA Regular Annual,Lapsed
2791,RA,CAA Regular Annual,Lapsed
2795,RL,CAA Regular Life Member,Paid
2810,RL,CAA Regular Life Member,Paid
2819,RL,CAA Regular Life Member,Paid
2820,RL,CAA Regular Life Member,Paid
2822,RL,CAA Regular Life Member,Paid
2842,LB,CAA Golden Bear Life Upgrade,Paid
2883,RA,CAA Regular Annual,Lapsed
2889,RA,CAA Regular Annual,Lapsed
2893,SL,CAA Sr. Citizen Life,Paid
2899,RL,CAA Regular Life Member,Paid
2917,RL,CAA Regular Life Member,Paid
2932,RL,CAA Regular Life Member,Paid
2935,RL,CAA Regular Life Member,Paid
2936,RL,CAA Regular Life Member,Paid
2970,RL,CAA Regular Life Member,Paid
2996,RL,CAA Regular Life Member,Paid
3012,RL,CAA Regular Life Member,Paid
3025,RL,CAA Regular Life Member,Paid
3050,RL,CAA Regular Life Member,Paid
3055,LB,CAA Golden Bear Life Upgrade,Paid
3059,NULL,NULL,NULL
3069,RL,CAA Regular Life Member,Paid
3079,RL,CAA Regular Life Member,Paid
3082,SL,CAA Sr. Citizen Life,Paid
3100,NULL,NULL,NULL
3109,RL,CAA Regular Life Member,Paid
3113,NULL,NULL,NULL
3119,LB,CAA Golden Bear Life Upgrade,Paid
3120,RA,CAA Regular Annual,Lapsed
3121,LB,CAA Golden Bear Life Upgrade,Paid
3133,FP,CAA Life Member - Paid In Full,Paid
3150,RL,CAA Regular Life Member,Paid
3162,RL,CAA Regular Life Member,Paid
3178,NULL,NULL,NULL
3186,LB,CAA Golden Bear Life Upgrade,Paid
3187,RL,CAA Regular Life Member,Paid
3196,RL,CAA Regular Life Member,Paid
3198,RL,CAA Regular Life Member,Paid
3233,LB,CAA Golden Bear Life Upgrade,Paid
3234,SL,CAA Sr. Citizen Life,Paid
3241,LB,CAA Golden Bear Life Upgrade,Paid
3261,RL,CAA Regular Life Member,Paid
3284,RL,CAA Regular Life Member,Paid
3295,LB,CAA Golden Bear Life Upgrade,Paid
3297,SL,CAA Sr. Citizen Life,Paid
3305,RL,CAA Regular Life Member,Paid
3308,RL,CAA Regular Life Member,Paid
3313,RL,CAA Regular Life Member,Paid
3314,RL,CAA Regular Life Member,Paid
3327,RL,CAA Regular Life Member,Paid
3328,RL,CAA Regular Life Member,Paid
3349,RL,CAA Regular Life Member,Paid
3365,RA,CAA Regular Annual,Lapsed
3383,RA,CAA Regular Annual,Lapsed
3386,RL,CAA Regular Life Member,Paid
3400,LB,CAA Golden Bear Life Upgrade,Paid
3407,LB,CAA Golden Bear Life Upgrade,Paid
3408,RL,CAA Regular Life Member,Paid
3433,SP,CAA Spouse Life,Paid
3452,RL,CAA Regular Life Member,Paid
3494,RA,CAA Regular Annual,Lapsed
3495,RL,CAA Regular Life Member,Paid
3528,RL,CAA Regular Life Member,Paid
3535,LB,CAA Golden Bear Life Upgrade,Paid
3541,RL,CAA Regular Life Member,Paid
3545,RL,CAA Regular Life Member,Paid
3546,RL,CAA Regular Life Member,Paid
3569,LB,CAA Golden Bear Life Upgrade,Paid
3570,RL,CAA Regular Life Member,Paid
3579,SP,CAA Spouse Life,Paid
3580,RL,CAA Regular Life Member,Paid
3583,SL,CAA Sr. Citizen Life,Paid
3603,SL,CAA Sr. Citizen Life,Paid
3627,RL,CAA Regular Life Member,Paid
3632,RL,CAA Regular Life Member,Paid
3642,NULL,NULL,NULL
3678,LB,CAA Golden Bear Life Upgrade,Paid
3708,RL,CAA Regular Life Member,Paid
3711,FP,CAA Life Member - Paid In Full,Paid
3730,RL,CAA Regular Life Member,Paid
3734,RL,CAA Regular Life Member,Paid
3777,RL,CAA Regular Life Member,Paid
3785,RL,CAA Regular Life Member,Paid
3793,RL,CAA Regular Life Member,Paid
