entity_id,sport_code,sport_desc
4,NULL,NULL
26,NULL,NULL
29,NULL,NULL
31,NULL,NULL
39,NULL,NULL
51,NULL,NULL
54,NULL,NULL
56,NULL,NULL
59,NULL,NULL
72,NULL,NULL
80,ICA,Intercollegiate Athlete
80,WATN,Tennis - Women
82,NULL,NULL
98,NULL,NULL
108,NULL,NULL
114,NULL,NULL
140,NULL,NULL
150,NULL,NULL
151,NULL,NULL
194,NULL,NULL
215,NULL,NULL
219,NULL,NULL
222,NULL,NULL
224,NULL,NULL
233,NULL,NULL
235,NULL,NULL
246,NULL,NULL
253,NULL,NULL
254,NULL,NULL
258,NULL,NULL
260,ICA,Intercollegiate Athlete
260,MASO,Soccer - Men
265,NULL,NULL
280,NULL,NULL
282,NULL,NULL
289,NULL,NULL
295,NULL,NULL
297,NULL,NULL
301,NULL,NULL
326,NULL,NULL
331,NULL,NULL
342,NULL,NULL
343,NULL,NULL
347,ICA,Intercollegiate Athlete
347,MATL,Track & Field - Men
350,NULL,NULL
352,NULL,NULL
369,NULL,NULL
370,ICA,Intercollegiate Athlete
370,MABB,Basketball - Men
371,NULL,NULL
391,NULL,NULL
402,NULL,NULL
409,NULL,NULL
417,RSBX,Cal Boxing Club
417,RSIP,Intramural Sports Participant
434,NULL,NULL
439,NULL,NULL
443,NULL,NULL
448,NULL,NULL
454,NULL,NULL
459,ICA,Intercollegiate Athlete
459,MACC,Crew - Men
461,NULL,NULL
463,NULL,NULL
464,NULL,NULL
470,NULL,NULL
476,NULL,NULL
480,ICA,Intercollegiate Athlete
480,MACC,Crew - Men
485,NULL,NULL
486,NULL,NULL
489,NULL,NULL
490,NULL,NULL
496,NULL,NULL
501,NULL,NULL
517,NULL,NULL
526,NULL,NULL
538,NULL,NULL
543,NULL,NULL
548,NULL,NULL
556,ICA,Intercollegiate Athlete
556,MAFL,Football - Men
567,NULL,NULL
568,NULL,NULL
572,NULL,NULL
574,NULL,NULL
576,ICA,Intercollegiate Athlete
576,MACC,Crew - Men
583,NULL,NULL
593,NULL,NULL
597,NULL,NULL
604,NULL,NULL
609,NULL,NULL
616,NULL,NULL
617,NULL,NULL
618,NULL,NULL
620,ICA,Intercollegiate Athlete
620,MASO,Soccer - Men
631,NULL,NULL
632,ICA,Intercollegiate Athlete
632,MACC,Crew - Men
642,NULL,NULL
647,NULL,NULL
651,NULL,NULL
667,NULL,NULL
706,NULL,NULL
711,NULL,NULL
713,NULL,NULL
717,NULL,NULL
724,NULL,NULL
732,NULL,NULL
772,NULL,NULL
775,ICA,Intercollegiate Athlete
775,MATN,Tennis - Men
776,NULL,NULL
790,NULL,NULL
792,NULL,NULL
806,NULL,NULL
814,NULL,NULL
841,NULL,NULL
846,NULL,NULL
851,NULL,NULL
865,NULL,NULL
867,NULL,NULL
883,NULL,NULL
885,NULL,NULL
899,NULL,NULL
900,NULL,NULL
919,NULL,NULL
953,NULL,NULL
965,NULL,NULL
968,NULL,NULL
987,NULL,NULL
1005,NULL,NULL
1006,NULL,NULL
1015,NULL,NULL
1023,ICA,Intercollegiate Athlete
1023,MATL,Track & Field - Men
1027,NULL,NULL
1028,NULL,NULL
1035,NULL,NULL
1053,NULL,NULL
1057,NULL,NULL
1064,NULL,NULL
1066,NULL,NULL
1069,NULL,NULL
1072,NULL,NULL
1075,NULL,NULL
1081,NULL,NULL
1092,NULL,NULL
1102,ICA,Intercollegiate Athlete
1102,MACC,Crew - Men
1103,NULL,NULL
1109,NULL,NULL
1121,NULL,NULL
1126,NULL,NULL
1127,NULL,NULL
1128,NULL,NULL
1150,NULL,NULL
1151,ICA,Intercollegiate Athlete
1151,MATL,Track & Field - Men
1155,NULL,NULL
1162,NULL,NULL
1168,NULL,NULL
1169,NULL,NULL
1177,NULL,NULL
1179,NULL,NULL
1184,ICA,Intercollegiate Athlete
1184,MACC,Crew - Men
1188,NULL,NULL
1191,NULL,NULL
1194,NULL,NULL
1195,NULL,NULL
1196,NULL,NULL
1197,NULL,NULL
1202,NULL,NULL
1207,NULL,NULL
1208,NULL,NULL
1215,NULL,NULL
1222,NULL,NULL
1233,NULL,NULL
1234,NULL,NULL
1238,NULL,NULL
1245,NULL,NULL
1262,NULL,NULL
1285,NULL,NULL
1287,NULL,NULL
1300,NULL,NULL
1301,NULL,NULL
1302,ICA,Intercollegiate Athlete
1302,MACC,Crew - Men
1303,NULL,NULL
1306,NULL,NULL
1315,NULL,NULL
1323,NULL,NULL
1328,NULL,NULL
1330,NULL,NULL
1335,NULL,NULL
1337,NULL,NULL
1339,NULL,NULL
1347,NULL,NULL
1352,NULL,NULL
1353,NULL,NULL
1356,NULL,NULL
1358,NULL,NULL
1359,NULL,NULL
1368,NULL,NULL
1373,NULL,NULL
1374,ICA,Intercollegiate Athlete
1374,MACC,Crew - Men
1376,ICA,Intercollegiate Athlete
1376,MATN,Tennis - Men
1379,NULL,NULL
1380,NULL,NULL
1381,NULL,NULL
1400,NULL,NULL
1411,NULL,NULL
1417,NULL,NULL
1425,NULL,NULL
1428,NULL,NULL
1432,NULL,NULL
1443,NULL,NULL
1447,NULL,NULL
1448,NULL,NULL
1456,NULL,NULL
1459,NULL,NULL
1460,NULL,NULL
1461,NULL,NULL
1466,NULL,NULL
1479,NULL,NULL
1489,NULL,NULL
1495,ICA,Intercollegiate Athlete
1495,MABB,Basketball - Men
1506,NULL,NULL
1508,NULL,NULL
1511,NULL,NULL
1513,ICA,Intercollegiate Athlete
1513,MAFL,Football - Men
1516,NULL,NULL
1518,NULL,NULL
1519,NULL,NULL
1532,NULL,NULL
1568,NULL,NULL
1581,ICA,Intercollegiate Athlete
1581,MAFL,Football - Men
1584,NULL,NULL
1592,NULL,NULL
1594,NULL,NULL
1597,NULL,NULL
1600,ICA,Intercollegiate Athlete
1600,MABS,Baseball - Men
1600,MAGO,Golf - Men
1600,RSIP,Intramural Sports Participant
1602,NULL,NULL
1616,NULL,NULL
1620,NULL,NULL
1629,NULL,NULL
1635,NULL,NULL
1644,NULL,NULL
1652,NULL,NULL
1655,NULL,NULL
1657,NULL,NULL
1669,NULL,NULL
1677,NULL,NULL
1681,NULL,NULL
1687,NULL,NULL
1690,NULL,NULL
1695,NULL,NULL
1699,NULL,NULL
1711,NULL,NULL
1721,NULL,NULL
1727,NULL,NULL
1758,NULL,NULL
1762,NULL,NULL
1773,NULL,NULL
1789,NULL,NULL
1790,NULL,NULL
1796,NULL,NULL
1802,ICA,Intercollegiate Athlete
1802,MATL,Track & Field - Men
1804,NULL,NULL
1814,ICA,Intercollegiate Athlete
1814,MAFL,Football - Men
1814,MATL,Track & Field - Men
1816,NULL,NULL
1828,NULL,NULL
1830,NULL,NULL
1845,NULL,NULL
1850,NULL,NULL
1866,ICA,Intercollegiate Athlete
1866,MAFL,Football - Men
1867,NULL,NULL
1868,NULL,NULL
1871,NULL,NULL
1876,NULL,NULL
1881,NULL,NULL
1884,NULL,NULL
1891,NULL,NULL
1893,NULL,NULL
1895,NULL,NULL
1909,NULL,NULL
1920,ICA,Intercollegiate Athlete
1920,MAFL,Football - Men
1920,MATL,Track & Field - Men
1927,NULL,NULL
1928,NULL,NULL
1930,NULL,NULL
1949,NULL,NULL
1950,NULL,NULL
1955,ICA,Intercollegiate Athlete
1955,MAFL,Football - Men
1956,NULL,NULL
1975,NULL,NULL
1977,NULL,NULL
1978,NULL,NULL
1994,NULL,NULL
2008,NULL,NULL
2014,ICA,Intercollegiate Athlete
2014,MABS,Baseball - Men
2017,NULL,NULL
2032,NULL,NULL
2034,NULL,NULL
2054,NULL,NULL
2055,NULL,NULL
2066,NULL,NULL
2087,ICA,Intercollegiate Athlete
2087,MAFL,Football - Men
2092,NULL,NULL
2095,NULL,NULL
2097,NULL,NULL
2099,NULL,NULL
2108,NULL,NULL
2109,NULL,NULL
2113,NULL,NULL
2114,NULL,NULL
2115,NULL,NULL
2116,NULL,NULL
2121,NULL,NULL
2130,NULL,NULL
2131,NULL,NULL
2132,NULL,NULL
2134,NULL,NULL
2151,NULL,NULL
2153,NULL,NULL
2164,NULL,NULL
2166,NULL,NULL
2170,NULL,NULL
2186,NULL,NULL
2197,NULL,NULL
2199,NULL,NULL
2202,NULL,NULL
2204,NULL,NULL
2210,NULL,NULL
2232,NULL,NULL
2234,ICA,Intercollegiate Athlete
2234,MATN,Tennis - Men
2239,NULL,NULL
2242,NULL,NULL
2254,NULL,NULL
2257,NULL,NULL
2269,NULL,NULL
2277,ICA,Intercollegiate Athlete
2277,MATL,Track & Field - Men
2279,NULL,NULL
2281,NULL,NULL
2286,NULL,NULL
2301,NULL,NULL
2313,NULL,NULL
2315,NULL,NULL
2326,NULL,NULL
2339,NULL,NULL
2343,NULL,NULL
2345,NULL,NULL
2346,NULL,NULL
2354,NULL,NULL
2379,ICA,Intercollegiate Athlete
2379,MASW,Swimming & Diving - Men
2381,NULL,NULL
2387,ICA,Intercollegiate Athlete
2387,MAFL,Football - Men
2387,MARU,Rugby - Men
2388,NULL,NULL
2389,NULL,NULL
2394,RSBX,Cal Boxing Club
2394,RSIP,Intramural Sports Participant
2405,NULL,NULL
2412,NULL,NULL
2415,ICA,Intercollegiate Athlete
2415,WATN,Tennis - Women
2425,NULL,NULL
2436,NULL,NULL
2463,NULL,NULL
2473,NULL,NULL
2491,NULL,NULL
2512,NULL,NULL
2520,NULL,NULL
2522,NULL,NULL
2532,NULL,NULL
2546,NULL,NULL
2549,NULL,NULL
2558,NULL,NULL
2559,NULL,NULL
2567,NULL,NULL
2572,NULL,NULL
2615,NULL,NULL
2616,NULL,NULL
2628,NULL,NULL
2629,NULL,NULL
2642,NULL,NULL
2653,NULL,NULL
2657,NULL,NULL
2660,NULL,NULL
2665,ICA,Intercollegiate Athlete
2665,MAFL,Football - Men
2666,NULL,NULL
2681,NULL,NULL
2685,NULL,NULL
2694,NULL,NULL
2705,NULL,NULL
2712,NULL,NULL
2716,NULL,NULL
2723,NULL,NULL
2739,RSIP,Intramural Sports Participant
2740,NULL,NULL
2745,NULL,NULL
2748,NULL,NULL
2751,NULL,NULL
2757,NULL,NULL
2758,NULL,NULL
2761,NULL,NULL
2775,NULL,NULL
2777,NULL,NULL
2778,NULL,NULL
2791,NULL,NULL
2795,NULL,NULL
2803,ICA,Intercollegiate Athlete
2803,MAFL,Football - Men
2803,MARU,Rugby - Men
2807,NULL,NULL
2810,NULL,NULL
2819,NULL,NULL
2820,NULL,NULL
2822,NULL,NULL
2842,NULL,NULL
2864,NULL,NULL
2873,ICA,Intercollegiate Athlete
2873,MATN,Tennis - Men
2883,NULL,NULL
2889,NULL,NULL
2893,NULL,NULL
2897,NULL,NULL
2899,NULL,NULL
2911,NULL,NULL
2917,NULL,NULL
2920,NULL,NULL
2921,NULL,NULL
2930,NULL,NULL
2932,NULL,NULL
2935,ICA,Intercollegiate Athlete
2935,MATL,Track & Field - Men
2936,NULL,NULL
2970,NULL,NULL
2977,NULL,NULL
2996,NULL,NULL
3012,NULL,NULL
3025,NULL,NULL
3043,NULL,NULL
3050,NULL,NULL
3055,NULL,NULL
3059,NULL,NULL
3069,NULL,NULL
3079,NULL,NULL
3082,NULL,NULL
3091,NULL,NULL
3100,NULL,NULL
3107,NULL,NULL
3109,NULL,NULL
3113,NULL,NULL
3119,NULL,NULL
3121,NULL,NULL
3133,NULL,NULL
3150,ICA,Intercollegiate Athlete
3150,MACC,Crew - Men
3151,NULL,NULL
3154,NULL,NULL
3157,NULL,NULL
3162,NULL,NULL
3177,NULL,NULL
3178,NULL,NULL
3186,NULL,NULL
3187,NULL,NULL
3196,ICA,Intercollegiate Athlete
3196,MABS,Baseball - Men
3198,NULL,NULL
3233,NULL,NULL
3234,NULL,NULL
3241,NULL,NULL
3261,NULL,NULL
3265,NULL,NULL
3284,NULL,NULL
3295,NULL,NULL
3297,NULL,NULL
3305,NULL,NULL
3308,NULL,NULL
3313,NULL,NULL
3314,NULL,NULL
3327,NULL,NULL
