Subscriber Key,Click-Through Time,Link Clicked
19804,11/7/2019 14:08,https://news.berkeley.edu/2019/10/16/college-of-chemistry-to-build-new-heathcock-hall-with-gift-of-25-million/
27419,11/4/2019 9:50,https://news.berkeley.edu/2019/10/16/college-of-chemistry-to-build-new-heathcock-hall-with-gift-of-25-million/
12323,11/4/2019 15:55,https://news.berkeley.edu/2019/10/16/college-of-chemistry-to-build-new-heathcock-hall-with-gift-of-25-million/
17563,11/4/2019 9:31,https://news.berkeley.edu/2019/10/16/college-of-chemistry-to-build-new-heathcock-hall-with-gift-of-25-million/
18844,11/4/2019 13:16,https://news.berkeley.edu/2019/10/16/college-of-chemistry-to-build-new-heathcock-hall-with-gift-of-25-million/
238000,11/4/2019 10:00,https://news.berkeley.edu/2019/10/16/college-of-chemistry-to-build-new-heathcock-hall-with-gift-of-25-million/
278017,11/4/2019 23:02,https://news.berkeley.edu/2019/10/16/college-of-chemistry-to-build-new-heathcock-hall-with-gift-of-25-million/
320173,11/5/2019 4:55,https://news.berkeley.edu/2019/10/16/college-of-chemistry-to-build-new-heathcock-hall-with-gift-of-25-million/
124503,11/4/2019 10:07,https://news.berkeley.edu/2019/10/16/college-of-chemistry-to-build-new-heathcock-hall-with-gift-of-25-million/
13242,11/4/2019 9:43,https://news.berkeley.edu/2019/10/16/college-of-chemistry-to-build-new-heathcock-hall-with-gift-of-25-million/
21547,11/4/2019 9:50,https://news.berkeley.edu/2019/10/16/college-of-chemistry-to-build-new-heathcock-hall-with-gift-of-25-million/
263971,11/4/2019 10:22,https://news.berkeley.edu/2019/10/16/college-of-chemistry-to-build-new-heathcock-hall-with-gift-of-25-million/
289996,11/4/2019 11:09,https://news.berkeley.edu/2019/10/16/college-of-chemistry-to-build-new-heathcock-hall-with-gift-of-25-million/
326846,11/4/2019 10:56,https://news.berkeley.edu/2019/10/16/college-of-chemistry-to-build-new-heathcock-hall-with-gift-of-25-million/
372483,11/4/2019 10:34,https://news.berkeley.edu/2019/10/16/college-of-chemistry-to-build-new-heathcock-hall-with-gift-of-25-million/
374502,11/6/2019 9:35,https://news.berkeley.edu/2019/10/16/college-of-chemistry-to-build-new-heathcock-hall-with-gift-of-25-million/
395456,11/4/2019 10:16,https://news.berkeley.edu/2019/10/16/college-of-chemistry-to-build-new-heathcock-hall-with-gift-of-25-million/
447819,11/4/2019 19:16,https://news.berkeley.edu/2019/10/16/college-of-chemistry-to-build-new-heathcock-hall-with-gift-of-25-million/
457700,11/4/2019 19:55,https://news.berkeley.edu/2019/10/16/college-of-chemistry-to-build-new-heathcock-hall-with-gift-of-25-million/
590071,11/4/2019 10:28,https://news.berkeley.edu/2019/10/16/college-of-chemistry-to-build-new-heathcock-hall-with-gift-of-25-million/
665521,11/4/2019 9:45,https://news.berkeley.edu/2019/10/16/college-of-chemistry-to-build-new-heathcock-hall-with-gift-of-25-million/
704005,11/5/2019 15:37,https://news.berkeley.edu/2019/10/16/college-of-chemistry-to-build-new-heathcock-hall-with-gift-of-25-million/
85984,11/4/2019 9:44,https://news.berkeley.edu/2019/10/16/college-of-chemistry-to-build-new-heathcock-hall-with-gift-of-25-million/
885523,11/4/2019 18:02,https://news.berkeley.edu/2019/10/16/college-of-chemistry-to-build-new-heathcock-hall-with-gift-of-25-million/
902380,11/4/2019 9:46,https://news.berkeley.edu/2019/10/16/college-of-chemistry-to-build-new-heathcock-hall-with-gift-of-25-million/
109225,11/8/2019 6:35,https://news.berkeley.edu/2019/10/16/college-of-chemistry-to-build-new-heathcock-hall-with-gift-of-25-million/
165078,11/4/2019 10:22,https://news.berkeley.edu/2019/10/16/college-of-chemistry-to-build-new-heathcock-hall-with-gift-of-25-million/
420118,11/4/2019 10:38,https://news.berkeley.edu/2019/10/16/college-of-chemistry-to-build-new-heathcock-hall-with-gift-of-25-million/
587411,11/4/2019 11:29,https://news.berkeley.edu/2019/10/16/college-of-chemistry-to-build-new-heathcock-hall-with-gift-of-25-million/
