Subscriber Key,Time Opened
10827,11/5/2019 17:03
110471,11/4/2019 16:27
1207,11/4/2019 9:33
126133,11/4/2019 13:27
13324,11/4/2019 19:52
14255,11/4/2019 16:35
144297,11/4/2019 10:43
149416,11/4/2019 18:21
160091,11/4/2019 21:39
19356,11/4/2019 21:03
19804,11/4/2019 9:56
19819,11/4/2019 10:12
20350,11/4/2019 11:05
20987,11/4/2019 11:20
217657,11/4/2019 15:47
23085,11/4/2019 9:33
244879,11/4/2019 10:30
248747,11/4/2019 9:46
254802,11/5/2019 18:44
25765,11/4/2019 9:46
270468,11/4/2019 18:04
275505,11/4/2019 11:54
289650,11/4/2019 9:51
293821,11/4/2019 9:41
3109243,11/4/2019 9:46
311352,11/4/2019 10:02
317439,11/4/2019 10:16
322412,11/9/2019 2:32
325840,11/4/2019 9:42
326043,11/9/2019 21:30
327095,11/4/2019 9:30
329445,11/4/2019 19:46
33220,11/4/2019 12:07
33386,11/4/2019 11:28
34380,11/4/2019 15:48
35157,11/4/2019 9:34
35494,11/4/2019 10:24
36562,11/4/2019 21:43
37025,11/4/2019 9:38
37348,11/4/2019 11:03
382340,11/4/2019 9:30
390172,11/4/2019 10:16
394734,11/4/2019 9:46
39681,11/4/2019 9:30
405202,11/4/2019 10:53
410058,11/5/2019 18:28
411541,11/4/2019 10:26
417,11/4/2019 9:30
431323,11/10/2019 17:43
438884,11/5/2019 9:55
450106,11/4/2019 12:11
457379,11/5/2019 18:48
465855,11/4/2019 17:51
47673,11/4/2019 18:12
482735,11/4/2019 14:32
491195,11/4/2019 12:19
494232,11/4/2019 9:35
50193,11/7/2019 13:08
517,11/4/2019 12:32
522339,11/4/2019 11:25
582260,11/4/2019 10:10
582724,11/4/2019 17:22
588242,11/4/2019 14:10
589745,11/4/2019 11:12
59438,11/4/2019 14:14
598606,11/4/2019 9:41
614097,11/4/2019 10:03
614198,11/4/2019 9:57
6198,11/4/2019 11:27
625176,11/4/2019 9:45
633650,2/3/2020 16:42
637991,11/4/2019 9:36
657512,11/4/2019 22:48
673476,11/4/2019 16:59
713275,11/4/2019 14:25
720250,11/4/2019 11:13
749900,11/5/2019 20:29
763832,11/4/2019 9:36
827387,11/4/2019 9:30
832673,11/4/2019 10:43
837780,11/4/2019 9:43
8823,11/4/2019 9:50
937021,11/4/2019 10:05
98585,11/6/2019 8:51
152290,11/4/2019 9:42
841375,11/4/2019 10:43
3111671,11/4/2019 9:30
3106110,11/4/2019 9:34
3119111,11/4/2019 16:43
3156046,11/4/2019 9:31
3208162,6/25/2020 15:37
3216594,11/4/2019 9:51
178652,11/4/2019 22:40
26098,11/4/2019 14:15
341167,11/5/2019 0:43
36013,11/4/2019 11:18
398936,11/4/2019 9:39
401048,11/4/2019 10:12
471682,11/4/2019 9:53
491665,11/4/2019 14:54
51,11/4/2019 9:55
749336,11/13/2019 9:04
887193,11/4/2019 9:30
892328,11/7/2019 8:21
964622,11/4/2019 11:15
972774,11/4/2019 21:08
973330,11/4/2019 9:36
239718,11/4/2019 9:33
28876,11/4/2019 9:36
314763,11/4/2019 9:59
471112,11/4/2019 20:48
594134,11/4/2019 9:31
606588,11/4/2019 9:30
665086,11/4/2019 20:44
669627,11/4/2019 11:54
689098,11/4/2019 9:51
693530,11/10/2019 9:36
694716,11/4/2019 9:30
739032,11/4/2019 9:30
746416,11/4/2019 14:20
775530,11/5/2019 10:28
790647,11/4/2019 9:30
809722,11/4/2019 9:38
814268,11/4/2019 11:05
