Subscriber Key,Time Opened
110471,12/2/2019 13:54
11096,12/2/2019 20:33
115256,12/3/2019 10:45
11880,12/2/2019 13:51
121397,12/2/2019 11:14
126133,12/3/2019 8:50
13223,12/2/2019 10:37
14047,12/4/2019 11:36
14255,12/2/2019 21:56
144297,12/2/2019 10:43
155762,12/2/2019 17:12
156579,12/9/2019 15:22
160091,12/3/2019 0:54
179755,12/7/2019 12:48
194596,12/2/2019 10:44
203413,12/2/2019 12:31
20876,12/3/2019 6:38
20987,12/2/2019 13:51
21853,12/2/2019 10:31
222,12/2/2019 10:34
226920,12/2/2019 14:36
231498,12/2/2019 11:15
235975,12/4/2019 18:32
244879,12/2/2019 12:43
245343,12/5/2019 12:56
248329,12/2/2019 16:08
252576,12/2/2019 10:36
256170,12/2/2019 13:13
26717,12/2/2019 11:22
270736,12/2/2019 14:02
289650,12/2/2019 14:28
293821,12/2/2019 11:01
298655,12/2/2019 10:37
309243,12/2/2019 13:07
311352,12/2/2019 10:33
314864,12/2/2019 11:04
317439,12/2/2019 10:38
318066,12/2/2019 10:39
318687,12/2/2019 10:35
32359,12/2/2019 10:59
325840,12/2/2019 13:32
32692,12/2/2019 10:36
327095,12/2/2019 10:31
329445,12/2/2019 23:11
33220,12/2/2019 15:22
333854,12/2/2019 12:49
33442,12/2/2019 11:05
34889,12/3/2019 10:16
35494,12/2/2019 11:20
367506,12/2/2019 19:21
37348,12/2/2019 18:18
375572,12/2/2019 10:33
37683,12/2/2019 10:47
380795,12/2/2019 10:45
382738,12/2/2019 10:40
390185,12/2/2019 10:38
3923,12/2/2019 15:03
395937,12/2/2019 10:51
39718,12/2/2019 11:23
409896,12/2/2019 10:46
411014,12/2/2019 18:48
416739,12/2/2019 11:40
426727,12/3/2019 10:58
438884,12/3/2019 10:10
448941,12/2/2019 14:59
450106,12/2/2019 10:37
455004,12/2/2019 20:18
465481,12/2/2019 14:26
475744,12/3/2019 10:04
4769,12/2/2019 10:41
4850,12/2/2019 15:31
491195,12/2/2019 11:00
493440,12/2/2019 11:52
495455,12/2/2019 14:42
50193,12/16/2019 13:33
517,12/3/2019 9:42
522339,12/6/2019 21:58
582724,12/2/2019 11:24
588242,12/2/2019 13:03
589745,12/4/2019 12:56
