Subscriber Key,Time Opened
795333,5/7/2020 11:05
110471,5/5/2020 18:05
115256,5/5/2020 19:07
1207,5/5/2020 10:18
126133,5/5/2020 10:54
13853,5/5/2020 10:50
144297,5/5/2020 10:13
149416,5/5/2020 11:07
160091,5/6/2020 1:39
18570,5/5/2020 10:42
19804,5/5/2020 11:14
203413,5/5/2020 10:01
20987,5/5/2020 10:12
21654,5/7/2020 20:09
22200,5/5/2020 13:43
23616,5/5/2020 13:11
24070,5/5/2020 19:18
245343,5/16/2020 13:49
252576,5/5/2020 13:34
254994,5/5/2020 12:58
260,5/5/2020 14:22
267642,5/5/2020 10:00
270736,5/5/2020 9:35
28491,5/5/2020 10:50
293821,5/5/2020 10:01
295505,5/5/2020 12:33
30381,7/19/2020 10:44
316506,5/15/2020 8:25
317439,5/5/2020 11:58
318577,5/5/2020 9:55
32359,5/5/2020 9:39
326570,5/5/2020 14:20
329445,5/5/2020 12:07
33217,5/5/2020 20:40
332263,5/5/2020 10:01
33439,5/5/2020 10:38
34515,5/5/2020 11:24
35157,5/5/2020 10:42
35494,5/5/2020 11:17
35612,5/5/2020 10:06
37348,5/5/2020 10:16
37990,5/5/2020 14:45
382340,5/5/2020 9:32
383525,5/5/2020 11:34
389804,5/5/2020 11:43
394734,5/5/2020 9:35
395937,5/5/2020 9:33
39718,5/14/2020 16:20
406595,5/5/2020 9:56
411541,5/5/2020 14:15
417,5/5/2020 11:54
422194,5/5/2020 17:46
432087,5/6/2020 1:08
443044,5/5/2020 10:48
452071,5/5/2020 9:40
457379,5/5/2020 23:51
465481,5/7/2020 6:52
475744,5/5/2020 23:14
476769,5/5/2020 11:39
491870,5/5/2020 10:33
494232,5/5/2020 9:50
50193,5/15/2020 15:24
517,5/6/2020 8:29
522339,5/5/2020 17:24
55641,5/5/2020 10:18
582260,5/5/2020 10:03
582724,5/5/2020 18:21
582917,5/5/2020 12:33
584647,5/6/2020 17:11
588827,5/5/2020 22:21
619805,5/5/2020 9:44
625176,5/5/2020 14:18
633650,5/9/2020 16:06
636403,5/5/2020 9:30
638096,5/5/2020 10:23
645594,5/5/2020 9:41
657512,5/6/2020 0:48
673476,5/5/2020 11:54
673940,5/11/2020 11:18
692407,5/6/2020 8:33
706003,5/5/2020 11:11
715618,5/6/2020 7:33
726300,5/5/2020 9:33
74730,5/5/2020 13:05
763832,5/5/2020 9:36
77386,5/5/2020 20:47
833816,5/5/2020 10:04
86363,5/5/2020 21:28
86705,5/5/2020 16:56
8823,5/5/2020 9:38
937021,5/5/2020 9:47
96929,5/5/2020 18:04
152290,5/5/2020 9:41
841375,5/5/2020 9:44
3030846,5/5/2020 12:31
3108839,5/5/2020 9:49
3155200,5/5/2020 12:57
3216089,5/5/2020 9:40
958327,5/5/2020 9:40
17071,5/5/2020 9:44
178652,5/6/2020 17:44
26098,5/5/2020 15:39
286131,7/10/2020 22:18
348869,5/5/2020 9:32
36013,5/5/2020 10:35
372464,5/5/2020 10:49
398976,5/6/2020 2:34
432185,5/15/2020 16:39
471682,5/5/2020 10:58
484948,5/7/2020 3:18
491942,5/5/2020 13:28
589324,5/5/2020 9:30
676729,5/5/2020 11:08
818088,5/5/2020 9:46
934155,5/5/2020 9:30
972774,5/5/2020 12:51
28876,5/5/2020 9:52
396945,5/5/2020 11:04
447528,5/5/2020 9:46
520605,5/5/2020 10:19
594134,5/5/2020 9:54
606588,5/5/2020 10:39
678622,5/5/2020 18:19
694153,5/5/2020 9:42
701939,5/5/2020 11:55
718309,5/5/2020 9:33
725841,5/5/2020 10:57
767141,5/5/2020 10:32
777449,5/5/2020 10:05
810769,5/5/2020 9:50
850757,5/5/2020 12:24
896818,5/5/2020 9:39
902688,5/17/2020 2:36
927301,5/5/2020 13:17
936871,5/5/2020 9:51
959826,5/5/2020 11:30
227732,5/5/2020 11:19
29169,5/5/2020 10:24
330419,5/5/2020 9:50
341641,5/5/2020 15:33
352738,5/5/2020 11:07
375419,5/5/2020 10:23
383627,5/5/2020 15:18
417253,5/5/2020 17:30
427319,5/5/2020 16:38
439700,5/7/2020 19:12
448582,5/5/2020 10:06
497598,5/5/2020 9:31
700454,5/31/2020 21:40
982901,5/5/2020 14:29
1002552,5/5/2020 9:31
1003637,5/5/2020 9:37
1005208,5/5/2020 18:15
1009043,5/5/2020 14:45
10141,5/5/2020 10:17
107912,5/5/2020 9:38
10893,5/5/2020 12:26
109871,5/5/2020 9:33
114004,5/5/2020 10:30
11529,5/5/2020 17:39
117137,5/5/2020 13:36
118898,5/5/2020 14:55
119214,5/5/2020 10:05
11996,5/5/2020 12:00
120177,5/5/2020 10:29
12202,5/5/2020 15:31
123394,5/5/2020 9:47
123481,5/5/2020 16:09
124149,5/5/2020 12:30
125073,5/5/2020 9:33
12514,5/5/2020 9:53
125426,5/5/2020 11:22
125505,5/5/2020 10:19
126274,5/5/2020 9:54
126850,5/5/2020 16:47
127778,5/10/2020 23:00
12815,5/5/2020 11:56
1287,5/5/2020 9:42
130092,5/5/2020 10:47
130889,5/5/2020 9:30
13242,5/5/2020 9:33
133008,5/5/2020 10:54
133445,5/5/2020 9:30
134696,5/5/2020 12:29
138370,5/5/2020 9:48
138498,5/5/2020 10:39
138612,5/5/2020 9:59
139624,5/8/2020 15:18
14077,5/5/2020 9:44
141936,5/7/2020 9:12
142591,5/5/2020 10:10
144645,5/5/2020 10:12
145942,5/5/2020 13:59
146513,5/5/2020 9:39
149826,5/5/2020 13:09
150225,5/5/2020 10:02
15247,5/5/2020 9:31
153751,5/5/2020 10:56
154184,5/5/2020 9:59
155866,5/5/2020 10:02
157518,5/5/2020 10:21
15788,5/17/2020 13:11
15881,5/5/2020 10:27
15912,5/5/2020 9:38
162159,5/5/2020 10:44
163550,5/5/2020 10:17
16547,5/5/2020 10:12
16601,5/5/2020 10:32
16725,5/5/2020 18:44
168575,5/5/2020 10:32
169105,5/5/2020 14:49
170062,5/5/2020 9:37
17119,5/5/2020 10:11
172301,5/5/2020 18:30
173101,5/5/2020 10:10
173480,5/8/2020 18:02
17394,5/5/2020 10:21
176186,5/5/2020 10:48
177912,5/5/2020 9:38
17856,5/5/2020 10:54
18017,5/5/2020 12:17
18136,5/5/2020 11:39
187709,5/5/2020 9:43
18810,5/5/2020 22:02
189299,5/5/2020 10:01
190085,5/5/2020 11:07
19177,5/5/2020 9:56
194167,5/5/2020 13:39
195492,5/7/2020 13:49
19676,5/5/2020 9:33
199032,5/5/2020 9:41
20109,5/5/2020 9:37
20221,5/5/2020 9:53
204094,5/7/2020 9:38
204253,5/6/2020 18:18
205048,5/5/2020 10:05
205921,5/6/2020 11:14
206558,5/5/2020 9:35
208403,5/6/2020 6:01
20917,5/5/2020 10:45
209917,5/5/2020 10:09
210406,5/14/2020 14:00
21165,5/5/2020 13:19
2121,5/5/2020 12:31
213226,5/5/2020 10:55
21335,5/5/2020 10:13
21528,5/7/2020 9:58
216833,5/5/2020 9:53
217497,5/5/2020 16:58
217981,5/5/2020 10:14
222459,5/5/2020 10:05
222683,5/5/2020 10:04
223836,5/5/2020 9:45
224308,5/5/2020 10:47
224554,5/5/2020 9:36
225898,5/5/2020 17:06
226226,5/5/2020 16:43
226459,5/5/2020 9:40
226585,5/5/2020 12:05
226607,5/5/2020 10:27
227211,5/7/2020 15:38
227590,5/6/2020 8:43
227697,5/5/2020 11:38
229230,5/5/2020 9:45
229391,5/5/2020 9:53
231083,5/5/2020 10:29
232250,5/5/2020 12:39
232485,5/5/2020 12:05
233281,5/5/2020 12:43
234056,5/5/2020 9:42
234555,5/5/2020 9:39
238547,5/5/2020 14:48
239217,5/5/2020 9:53
240130,5/11/2020 7:44
240226,5/5/2020 19:17
240348,5/5/2020 9:33
240468,5/5/2020 10:38
243234,5/5/2020 10:44
248319,5/5/2020 9:52
25016,5/5/2020 9:39
250619,5/5/2020 12:07
251189,5/5/2020 9:39
251846,5/5/2020 14:39
254235,5/5/2020 9:39
254646,5/15/2020 13:29
254974,5/15/2020 15:49
256346,5/7/2020 9:36
256973,5/5/2020 9:30
257824,5/5/2020 9:46
259048,5/5/2020 9:33
259743,5/5/2020 9:49
260233,5/5/2020 9:42
260278,5/7/2020 2:08
26089,5/6/2020 13:57
261328,5/5/2020 9:32
26194,5/5/2020 20:56
26262,5/5/2020 10:29
263212,5/5/2020 9:46
265135,5/6/2020 0:17
265339,5/5/2020 10:19
265481,5/5/2020 16:31
265708,5/5/2020 9:30
265884,5/5/2020 14:32
266303,5/6/2020 2:29
266968,5/5/2020 9:39
267659,5/5/2020 9:32
268658,5/5/2020 9:33
268966,5/6/2020 12:48
269967,5/5/2020 10:16
270358,5/5/2020 9:33
272488,5/5/2020 10:30
273101,5/10/2020 10:43
27322,5/5/2020 11:45
27405,5/6/2020 12:41
274687,5/5/2020 15:37
276155,5/5/2020 9:41
276684,5/5/2020 10:04
277212,5/5/2020 9:30
277755,5/5/2020 9:33
277813,5/20/2020 17:25
278862,5/5/2020 9:32
280507,5/5/2020 11:37
28385,5/5/2020 10:11
28664,5/5/2020 12:17
287888,5/5/2020 9:55
290115,5/5/2020 11:18
290287,5/5/2020 10:04
291286,5/5/2020 19:07
291954,5/5/2020 11:06
292728,5/10/2020 9:37
293452,5/5/2020 10:54
293849,5/5/2020 9:58
294601,5/5/2020 9:53
294715,5/5/2020 13:25
294976,5/5/2020 9:32
297,5/5/2020 10:27
297965,5/5/2020 12:42
29849,5/5/2020 11:09
300080,5/5/2020 9:41
300937,5/5/2020 10:05
3010093,5/5/2020 10:30
301401,5/5/2020 11:01
301456,5/5/2020 9:55
302589,5/5/2020 9:37
3030303,5/5/2020 10:02
303221,5/5/2020 13:50
303457,5/5/2020 13:15
304262,5/5/2020 10:31
305786,5/5/2020 10:43
306709,5/5/2020 9:42
306739,5/5/2020 20:31
3068988,5/5/2020 9:30
3071373,5/6/2020 6:41
3072754,5/5/2020 19:23
30758,5/5/2020 9:31
3081577,5/5/2020 9:48
308742,5/6/2020 17:22
309141,5/5/2020 13:41
309644,5/5/2020 9:30
31001,5/6/2020 16:42
310194,5/5/2020 12:24
310368,5/5/2020 12:54
310568,5/8/2020 20:32
3112178,5/5/2020 11:31
311354,5/5/2020 15:22
311858,5/5/2020 13:03
312894,5/5/2020 9:34
314238,5/7/2020 15:40
315302,5/5/2020 9:48
315511,5/5/2020 10:53
316291,5/5/2020 9:35
316477,5/5/2020 10:33
316854,5/5/2020 14:32
317358,5/5/2020 10:08
318675,5/5/2020 10:16
318796,5/5/2020 12:23
318841,5/5/2020 11:56
319415,5/5/2020 22:57
319802,5/5/2020 9:51
320385,5/5/2020 9:32
321239,5/5/2020 10:22
32188,5/5/2020 9:31
322489,5/5/2020 9:48
323473,5/5/2020 18:21
323933,5/5/2020 12:16
32441,5/5/2020 10:01
324663,5/5/2020 16:36
325124,5/5/2020 9:35
325576,5/5/2020 10:43
326155,5/5/2020 18:11
326366,5/12/2020 12:22
326846,5/5/2020 11:48
327688,5/5/2020 10:29
328496,5/5/2020 9:37
329501,5/5/2020 9:32
330089,5/5/2020 9:43
330804,5/5/2020 9:32
331417,5/5/2020 10:37
333216,5/5/2020 10:45
335619,5/5/2020 10:29
335798,5/5/2020 17:57
336826,5/5/2020 10:31
337298,5/5/2020 9:30
337608,5/5/2020 9:32
33829,5/5/2020 10:10
339181,5/5/2020 9:58
340790,5/5/2020 9:44
341117,5/5/2020 9:31
341203,5/5/2020 11:20
34346,5/5/2020 9:37
343712,5/5/2020 11:11
343940,5/5/2020 9:50
344769,5/5/2020 20:50
345260,5/5/2020 9:32
347332,5/5/2020 11:36
349034,5/6/2020 8:39
349353,5/5/2020 10:52
353467,5/5/2020 13:07
353784,5/10/2020 12:16
354004,5/5/2020 10:54
355164,5/5/2020 14:24
35720,5/5/2020 16:00
357701,5/5/2020 9:30
358350,5/5/2020 9:34
358709,5/5/2020 9:30
359528,5/5/2020 9:46
363197,5/5/2020 20:57
3642,5/5/2020 17:25
36445,5/5/2020 13:06
36465,5/5/2020 12:25
36468,5/5/2020 9:33
365765,5/5/2020 9:32
365941,5/5/2020 10:47
366034,5/5/2020 14:22
367338,5/5/2020 22:39
367701,5/5/2020 9:50
367820,5/5/2020 9:30
368778,5/5/2020 11:24
36953,5/5/2020 9:32
370406,5/6/2020 6:52
370769,5/5/2020 10:45
371117,5/5/2020 9:34
37138,5/5/2020 10:32
371519,7/2/2020 13:53
371656,5/5/2020 9:40
372245,5/5/2020 9:44
372300,5/6/2020 9:14
372874,5/5/2020 9:46
373643,5/5/2020 9:58
374237,5/21/2020 14:14
374625,5/5/2020 11:30
375172,5/7/2020 22:07
375951,5/5/2020 10:12
378404,5/5/2020 13:54
378540,5/5/2020 15:06
378645,5/5/2020 13:41
379718,5/5/2020 16:41
380428,5/5/2020 12:49
381349,5/5/2020 9:48
381798,5/15/2020 9:47
382412,5/5/2020 13:52
383006,5/5/2020 10:53
