entity_id,gift_club_code,gift_club_code_desc,gift_club_type_desc,gift_club_status_desc
29,ELD,Engineering High Lifetime Donor ($25K+),Engineering Giving Societies,Active
29,ETK,Engineering $10K+ Donors ($10K+),Engineering Giving Societies,Active
51,NULL,NULL,NULL,NULL
59,L30,Loyal Giving 30 to 39 Years,Berkeley Loyal,Historic
59,L40,Loyal Giving 40 to 49 Years,Berkeley Loyal,Active
59,L40,Loyal Giving 40 to 49 Years,Berkeley Loyal,Historic
72,CS1,"Charter Hill Society Member ($1,000)",Charter Hill Society,Historic
72,L30,Loyal Giving 30 to 39 Years,Berkeley Loyal,Historic
80,CS3,"Charter Hill Society Associate ($5,000)",Charter Hill Society,Historic
80,CS4,"Charter Hill Society Partner ($10,000)",Charter Hill Society,Historic
80,L25,Loyal Giving 25 to 29 Years,Berkeley Loyal,Historic
80,L30,Loyal Giving 30 to 39 Years,Berkeley Loyal,Historic
151,CS1,"Charter Hill Society Member ($1,000)",Charter Hill Society,Historic
151,CS2,"Charter Hill Society Affiliate ($2,500)",Charter Hill Society,Historic
151,L30,Loyal Giving 30 to 39 Years,Berkeley Loyal,Historic
194,NULL,NULL,NULL,NULL
222,CBS,CAA Bancroft Society ($1000+),CAA Fund Society,Historic
222,CS1,"Charter Hill Society Member ($1,000)",Charter Hill Society,Historic
222,L30,Loyal Giving 30 to 39 Years,Berkeley Loyal,Active
222,L30,Loyal Giving 30 to 39 Years,Berkeley Loyal,Historic
235,CS4,"Charter Hill Society Partner ($10,000)",Charter Hill Society,Historic
235,EDS,Engineering Dean's Society ($2500+),Engineering Giving Societies,Active
235,ETK,Engineering $10K+ Donors ($10K+),Engineering Giving Societies,Active
258,NULL,NULL,NULL,NULL
295,CBS,CAA Bancroft Society ($1000+),CAA Fund Society,Historic
295,CS1,"Charter Hill Society Member ($1,000)",Charter Hill Society,Active
295,CS1,"Charter Hill Society Member ($1,000)",Charter Hill Society,Historic
295,L40,Loyal Giving 40 to 49 Years,Berkeley Loyal,Active
295,L40,Loyal Giving 40 to 49 Years,Berkeley Loyal,Historic
297,L10,Loyal Giving 10 to 14 Years,Berkeley Loyal,Historic
297,L15,Loyal Giving 15 to 19 Years,Berkeley Loyal,Historic
347,L15,Loyal Giving 15 to 19 Years,Berkeley Loyal,Historic
347,L20,Loyal Giving 20 to 24 Years,Berkeley Loyal,Active
347,L20,Loyal Giving 20 to 24 Years,Berkeley Loyal,Historic
352,CS2,"Charter Hill Society Affiliate ($2,500)",Charter Hill Society,Active
352,CS4,"Charter Hill Society Partner ($10,000)",Charter Hill Society,Historic
352,CS5,"Charter Hill Society Patron ($25,000)",Charter Hill Society,Historic
352,L25,Loyal Giving 25 to 29 Years,Berkeley Loyal,Historic
352,L30,Loyal Giving 30 to 39 Years,Berkeley Loyal,Historic
417,CS2,"Charter Hill Society Affiliate ($2,500)",Charter Hill Society,Active
417,CS3,"Charter Hill Society Associate ($5,000)",Charter Hill Society,Historic
417,L25,Loyal Giving 25 to 29 Years,Berkeley Loyal,Historic
417,L30,Loyal Giving 30 to 39 Years,Berkeley Loyal,Active
417,L30,Loyal Giving 30 to 39 Years,Berkeley Loyal,Historic
443,NULL,NULL,NULL,NULL
461,ETK,Engineering $10K+ Donors ($10K+),Engineering Giving Societies,Active
463,CS4,"Charter Hill Society Partner ($10,000)",Charter Hill Society,Active
463,CS4,"Charter Hill Society Partner ($10,000)",Charter Hill Society,Historic
463,EDS,Engineering Dean's Society ($2500+),Engineering Giving Societies,Active
463,ETK,Engineering $10K+ Donors ($10K+),Engineering Giving Societies,Active
463,L30,Loyal Giving 30 to 39 Years,Berkeley Loyal,Historic
463,L40,Loyal Giving 40 to 49 Years,Berkeley Loyal,Active
463,L40,Loyal Giving 40 to 49 Years,Berkeley Loyal,Historic
464,L25,Loyal Giving 25 to 29 Years,Berkeley Loyal,Historic
464,L30,Loyal Giving 30 to 39 Years,Berkeley Loyal,Active
464,L30,Loyal Giving 30 to 39 Years,Berkeley Loyal,Historic
486,NULL,NULL,NULL,NULL
490,NULL,NULL,NULL,NULL
517,CS3,"Charter Hill Society Associate ($5,000)",Charter Hill Society,Historic
517,CS4,"Charter Hill Society Partner ($10,000)",Charter Hill Society,Active
517,CS4,"Charter Hill Society Partner ($10,000)",Charter Hill Society,Historic
517,CS5,"Charter Hill Society Patron ($25,000)",Charter Hill Society,Historic
517,EDS,Engineering Dean's Society ($2500+),Engineering Giving Societies,Active
517,EFD,Engineering Founder's Circle ($100K LT),Engineering Giving Societies,Active
517,ELD,Engineering High Lifetime Donor ($25K+),Engineering Giving Societies,Active
517,ETK,Engineering $10K+ Donors ($10K+),Engineering Giving Societies,Active
517,HLS,Haas Leadership Society,Haas Leadership Society,Historic
517,L30,Loyal Giving 30 to 39 Years,Berkeley Loyal,Historic
517,L40,Loyal Giving 40 to 49 Years,Berkeley Loyal,Active
517,L40,Loyal Giving 40 to 49 Years,Berkeley Loyal,Historic
567,CS3,"Charter Hill Society Associate ($5,000)",Charter Hill Society,Historic
567,CS5,"Charter Hill Society Patron ($25,000)",Charter Hill Society,Historic
567,L10,Loyal Giving 10 to 14 Years,Berkeley Loyal,Historic
572,NULL,NULL,NULL,NULL
574,NULL,NULL,NULL,NULL
576,CS1,"Charter Hill Society Member ($1,000)",Charter Hill Society,Historic
576,CS5,"Charter Hill Society Patron ($25,000)",Charter Hill Society,Active
576,CS5,"Charter Hill Society Patron ($25,000)",Charter Hill Society,Historic
576,L30,Loyal Giving 30 to 39 Years,Berkeley Loyal,Historic
576,L40,Loyal Giving 40 to 49 Years,Berkeley Loyal,Active
576,L40,Loyal Giving 40 to 49 Years,Berkeley Loyal,Historic
597,CS1,"Charter Hill Society Member ($1,000)",Charter Hill Society,Active
597,L30,Loyal Giving 30 to 39 Years,Berkeley Loyal,Historic
597,L40,Loyal Giving 40 to 49 Years,Berkeley Loyal,Active
597,L40,Loyal Giving 40 to 49 Years,Berkeley Loyal,Historic
604,CS1,"Charter Hill Society Member ($1,000)",Charter Hill Society,Historic
604,CS3,"Charter Hill Society Associate ($5,000)",Charter Hill Society,Active
604,CS3,"Charter Hill Society Associate ($5,000)",Charter Hill Society,Historic
604,CS4,"Charter Hill Society Partner ($10,000)",Charter Hill Society,Historic
604,EDS,Engineering Dean's Society ($2500+),Engineering Giving Societies,Active
604,EFD,Engineering Founder's Circle ($100K LT),Engineering Giving Societies,Active
604,ELD,Engineering High Lifetime Donor ($25K+),Engineering Giving Societies,Active
604,ETK,Engineering $10K+ Donors ($10K+),Engineering Giving Societies,Active
604,L30,Loyal Giving 30 to 39 Years,Berkeley Loyal,Historic
604,L40,Loyal Giving 40 to 49 Years,Berkeley Loyal,Active
604,L40,Loyal Giving 40 to 49 Years,Berkeley Loyal,Historic
632,L15,Loyal Giving 15 to 19 Years,Berkeley Loyal,Historic
632,L20,Loyal Giving 20 to 24 Years,Berkeley Loyal,Active
632,L20,Loyal Giving 20 to 24 Years,Berkeley Loyal,Historic
647,CS4,"Charter Hill Society Partner ($10,000)",Charter Hill Society,Active
713,NULL,NULL,NULL,NULL
724,L30,Loyal Giving 30 to 39 Years,Berkeley Loyal,Active
724,L30,Loyal Giving 30 to 39 Years,Berkeley Loyal,Historic
732,L10,Loyal Giving 10 to 14 Years,Berkeley Loyal,Historic
732,L15,Loyal Giving 15 to 19 Years,Berkeley Loyal,Active
775,NULL,NULL,NULL,NULL
776,L25,Loyal Giving 25 to 29 Years,Berkeley Loyal,Historic
809,CS1,"Charter Hill Society Member ($1,000)",Charter Hill Society,Active
809,CS1,"Charter Hill Society Member ($1,000)",Charter Hill Society,Historic
809,CS3,"Charter Hill Society Associate ($5,000)",Charter Hill Society,Historic
809,L25,Loyal Giving 25 to 29 Years,Berkeley Loyal,Historic
809,L30,Loyal Giving 30 to 39 Years,Berkeley Loyal,Historic
841,CS1,"Charter Hill Society Member ($1,000)",Charter Hill Society,Historic
841,CS3,"Charter Hill Society Associate ($5,000)",Charter Hill Society,Active
841,CS3,"Charter Hill Society Associate ($5,000)",Charter Hill Society,Historic
841,CS4,"Charter Hill Society Partner ($10,000)",Charter Hill Society,Historic
841,HL3,Haas Partners Club,Haas Leadership Society,Active
841,HLS,Haas Leadership Society,Haas Leadership Society,Historic
841,L25,Loyal Giving 25 to 29 Years,Berkeley Loyal,Historic
841,L30,Loyal Giving 30 to 39 Years,Berkeley Loyal,Active
841,L30,Loyal Giving 30 to 39 Years,Berkeley Loyal,Historic
846,CS1,"Charter Hill Society Member ($1,000)",Charter Hill Society,Historic
846,CS2,"Charter Hill Society Affiliate ($2,500)",Charter Hill Society,Historic
846,CS3,"Charter Hill Society Associate ($5,000)",Charter Hill Society,Active
846,CS3,"Charter Hill Society Associate ($5,000)",Charter Hill Society,Historic
846,L20,Loyal Giving 20 to 24 Years,Berkeley Loyal,Historic
846,L25,Loyal Giving 25 to 29 Years,Berkeley Loyal,Active
846,L25,Loyal Giving 25 to 29 Years,Berkeley Loyal,Historic
867,CS1,"Charter Hill Society Member ($1,000)",Charter Hill Society,Historic
867,CS2,"Charter Hill Society Affiliate ($2,500)",Charter Hill Society,Historic
867,CS4,"Charter Hill Society Partner ($10,000)",Charter Hill Society,Historic
867,CS5,"Charter Hill Society Patron ($25,000)",Charter Hill Society,Active
867,L30,Loyal Giving 30 to 39 Years,Berkeley Loyal,Historic
867,L40,Loyal Giving 40 to 49 Years,Berkeley Loyal,Active
867,L40,Loyal Giving 40 to 49 Years,Berkeley Loyal,Historic
885,CBS,CAA Bancroft Society ($1000+),CAA Fund Society,Active
885,CBS,CAA Bancroft Society ($1000+),CAA Fund Society,Historic
885,CS1,"Charter Hill Society Member ($1,000)",Charter Hill Society,Active
885,CS1,"Charter Hill Society Member ($1,000)",Charter Hill Society,Historic
885,CS2,"Charter Hill Society Affiliate ($2,500)",Charter Hill Society,Historic
885,L30,Loyal Giving 30 to 39 Years,Berkeley Loyal,Historic
885,L40,Loyal Giving 40 to 49 Years,Berkeley Loyal,Active
885,L40,Loyal Giving 40 to 49 Years,Berkeley Loyal,Historic
899,L30,Loyal Giving 30 to 39 Years,Berkeley Loyal,Active
899,L30,Loyal Giving 30 to 39 Years,Berkeley Loyal,Historic
953,L40,Loyal Giving 40 to 49 Years,Berkeley Loyal,Active
953,L40,Loyal Giving 40 to 49 Years,Berkeley Loyal,Historic
968,L10,Loyal Giving 10 to 14 Years,Berkeley Loyal,Historic
1015,CBS,CAA Bancroft Society ($1000+),CAA Fund Society,Historic
1015,CS1,"Charter Hill Society Member ($1,000)",Charter Hill Society,Active
1015,CS1,"Charter Hill Society Member ($1,000)",Charter Hill Society,Historic
1015,L15,Loyal Giving 15 to 19 Years,Berkeley Loyal,Historic
1015,L20,Loyal Giving 20 to 24 Years,Berkeley Loyal,Active
1015,L20,Loyal Giving 20 to 24 Years,Berkeley Loyal,Historic
1023,CS1,"Charter Hill Society Member ($1,000)",Charter Hill Society,Historic
1023,CS2,"Charter Hill Society Affiliate ($2,500)",Charter Hill Society,Historic
1023,CS3,"Charter Hill Society Associate ($5,000)",Charter Hill Society,Active
1023,L30,Loyal Giving 30 to 39 Years,Berkeley Loyal,Active
1023,L30,Loyal Giving 30 to 39 Years,Berkeley Loyal,Historic
1035,NULL,NULL,NULL,NULL
1102,CS1,"Charter Hill Society Member ($1,000)",Charter Hill Society,Historic
