entity_id,caa_latest_memb_type_code,caa_latest_memb_type_desc,caa_latest_memb_status_desc
29,RL,CAA Regular Life Member,Paid
51,SL,CAA Sr. Citizen Life,Paid
59,SL,CAA Sr. Citizen Life,Paid
72,NULL,NULL,NULL
80,RL,CAA Regular Life Member,Paid
151,RL,CAA Regular Life Member,Paid
194,RL,CAA Regular Life Member,Paid
222,SP,CAA Spouse Life,Paid
235,RL,CAA Regular Life Member,Paid
258,RL,CAA Regular Life Member,Paid
295,LB,CAA Golden Bear Life Upgrade,Paid
297,RL,CAA Regular Life Member,Paid
347,RA,CAA Regular Annual,Lapsed
352,RL,CAA Regular Life Member,Paid
417,LB,CAA Golden Bear Life Upgrade,Paid
443,SR,CAA Sr. Citizen Annual,Paid
461,LB,CAA Golden Bear Life Upgrade,Paid
463,RL,CAA Regular Life Member,Paid
464,LB,CAA Golden Bear Life Upgrade,Paid
486,RL,CAA Regular Life Member,Paid
490,RL,CAA Regular Life Member,Paid
517,RL,CAA Regular Life Member,Paid
567,RL,CAA Regular Life Member,Paid
572,SR,CAA Sr. Citizen Annual,Paid
574,RL,CAA Regular Life Member,Paid
576,RL,CAA Regular Life Member,Paid
597,RL,CAA Regular Life Member,Paid
604,LB,CAA Golden Bear Life Upgrade,Paid
632,RL,CAA Regular Life Member,Paid
647,RL,CAA Regular Life Member,Paid
713,RL,CAA Regular Life Member,Paid
724,RL,CAA Regular Life Member,Paid
732,LB,CAA Golden Bear Life Upgrade,Paid
775,RA,CAA Regular Annual,Lapsed
776,LB,CAA Golden Bear Life Upgrade,Paid
809,RL,CAA Regular Life Member,Paid
841,SL,CAA Sr. Citizen Life,Paid
846,LB,CAA Golden Bear Life Upgrade,Paid
867,RL,CAA Regular Life Member,Paid
885,LB,CAA Golden Bear Life Upgrade,Paid
899,LB,CAA Golden Bear Life Upgrade,Paid
953,RL,CAA Regular Life Member,Paid
968,RL,CAA Regular Life Member,Paid
1015,SL,CAA Sr. Citizen Life,Paid
